TIME_PERIOD,Portfolio,Region,Return_EUR,Return_RF_EU
2004-08-31,RF,EU,0.1748048895520966,0.1748048895520966
2004-08-31,RF,US,-0.4851548179341023,0.1748048895520966
2004-08-31,Market_Return,US,-0.4199267906322337,0.1748048895520966
2004-08-31,Small Cap,EU,-0.6295448027943957,0.1748048895520966
2004-08-31,Tech Stocks,US,-1.280398810998264,0.1748048895520966
2004-08-31,Tech Stocks,EU,0.8568194203616457,0.1748048895520966
2004-08-31,Small Cap,US,-1.727623014711027,0.1748048895520966
2004-08-31,Market_Return,EU,-0.13692923872246243,0.1748048895520966
2004-08-31,BIG HiPRIOR,EU,0.8568194203616457,0.1748048895520966
2004-08-31,BIG LoPRIOR,EU,0.02181322764430149,0.1748048895520966
2004-08-31,ME1 PRIOR2,EU,0.11127817686400476,0.1748048895520966
2004-08-31,ME2 PRIOR2,EU,-0.5050359177607078,0.1748048895520966
2004-08-31,SMALL HiPRIOR,EU,-0.24658162001486517,0.1748048895520966
2004-08-31,SMALL LoPRIOR,EU,-1.916594005449582,0.1748048895520966
2004-08-31,BIG HiPRIOR,US,-1.280398810998264,0.1748048895520966
2004-08-31,BIG LoPRIOR,US,0.02181322764430149,0.1748048895520966
2004-08-31,ME1 PRIOR2,US,-1.0815878127322236,0.1748048895520966
2004-08-31,ME2 PRIOR2,US,-0.26646271984147063,0.1748048895520966
2004-08-31,SMALL HiPRIOR,US,-2.910648996779784,0.1748048895520966
2004-08-31,SMALL LoPRIOR,US,-1.1312905622987444,0.1748048895520966
2004-09-30,RF,US,-2.294124425819973,0.17790078219897265
2004-09-30,RF,EU,0.17790078219897265,0.17790078219897265
2004-09-30,Market_Return,US,-0.7897423182391362,0.17790078219897265
2004-09-30,Market_Return,EU,1.5701539530548385,0.17790078219897265
2004-09-30,Tech Stocks,US,3.454428237569516,0.17790078219897265
2004-09-30,Small Cap,EU,1.8224651975983464,0.17790078219897265
2004-09-30,Tech Stocks,EU,2.6931598033685304,0.17790078219897265
2004-09-30,Small Cap,US,2.442877426138752,0.17790078219897265
2004-09-30,BIG HiPRIOR,EU,2.6931598033685304,0.17790078219897265
2004-09-30,BIG LoPRIOR,EU,0.10679909742928828,0.17790078219897265
2004-09-30,ME1 PRIOR2,EU,1.4731783383028443,0.17790078219897265
2004-09-30,ME2 PRIOR2,EU,2.283246031106458,0.17790078219897265
2004-09-30,SMALL HiPRIOR,EU,2.8981166894995596,0.17790078219897265
2004-09-30,SMALL LoPRIOR,EU,0.8095084213071289,0.17790078219897265
2004-09-30,BIG HiPRIOR,US,3.454428237569516,0.17790078219897265
2004-09-30,BIG LoPRIOR,US,-3.1041921186235726,0.17790078219897265
2004-09-30,ME1 PRIOR2,US,1.8830921105649168,0.17790078219897265
2004-09-30,ME2 PRIOR2,US,-1.3474188089290067,0.17790078219897265
2004-09-30,SMALL HiPRIOR,US,4.908646143927797,0.17790078219897265
2004-09-30,SMALL LoPRIOR,US,0.7704690144250179,0.17790078219897265
2004-10-31,RF,US,-2.4680073800738,0.18281112542753397
2004-10-31,RF,EU,0.18281112542753397,0.18281112542753397
2004-10-31,Small Cap,EU,1.6342301481085022,0.18281112542753397
2004-10-31,Small Cap,US,-0.4804532743767329,0.18281112542753397
2004-10-31,Market_Return,US,-1.1250070933105871,0.18281112542753397
2004-10-31,Tech Stocks,EU,0.9126340582554775,0.18281112542753397
2004-10-31,Tech Stocks,US,-0.8897252100180566,0.18281112542753397
2004-10-31,Market_Return,EU,1.4677225209442488,0.18281112542753397
2004-10-31,BIG HiPRIOR,EU,0.9126340582554775,0.18281112542753397
2004-10-31,BIG LoPRIOR,EU,1.6140928005024762,0.18281112542753397
2004-10-31,ME1 PRIOR2,EU,1.4679555625343568,0.18281112542753397
2004-10-31,ME2 PRIOR2,EU,1.5653803878464316,0.18281112542753397
2004-10-31,SMALL HiPRIOR,EU,2.071989479469252,0.18281112542753397
2004-10-31,SMALL LoPRIOR,EU,1.3607882546910588,0.18281112542753397
2004-10-31,BIG HiPRIOR,US,-0.8897252100180566,0.18281112542753397
2004-10-31,BIG LoPRIOR,US,-0.012901782209311818,0.18281112542753397
2004-10-31,ME1 PRIOR2,US,-0.012901782209311818,0.18281112542753397
2004-10-31,ME2 PRIOR2,US,-2.000368218575801,0.18281112542753397
2004-10-31,SMALL HiPRIOR,US,-1.7860336028892192,0.18281112542753397
