TIME_PERIOD,Value,Strategy ID,Fund name
2007-08-31,100.0,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2007-09-30,98.81743860750213,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2007-10-31,100.74562837262049,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2007-11-30,98.71531349197012,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2007-12-31,100.6230935781648,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2008-01-31,99.79469088862852,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2008-02-29,102.46375563452449,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2008-03-31,102.52580180005413,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2008-04-30,101.9406433323321,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2008-05-31,105.11725669071234,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2008-06-30,110.14930853328644,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2008-07-31,109.2339703681653,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2008-08-31,109.88599789069067,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2008-09-30,109.61348405368213,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2008-10-31,108.81846216932665,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2008-11-30,106.95718654279146,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2008-12-31,105.80295487271836,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2009-01-31,108.63995937621131,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2009-02-28,109.15226785337326,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2009-03-31,105.9202646185477,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2009-04-30,104.10970423069074,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2009-05-31,102.13903310243117,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2009-06-30,104.26453289709258,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2009-07-31,105.60884070479918,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2009-08-31,104.77218613242412,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2009-09-30,105.80414863450068,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2009-10-31,105.07863408844273,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2009-11-30,104.25384360222347,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2009-12-31,107.10080728715639,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2010-01-31,108.9591140691668,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2010-02-28,109.79454263219112,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2010-03-31,112.50056789045092,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2010-04-30,115.7965120629742,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2010-05-31,115.44762609076373,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2010-06-30,114.58439657663435,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2010-07-31,114.19634937473394,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2010-08-31,113.96435497319152,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2010-09-30,116.90117780592307,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2010-10-31,117.76317966737142,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2010-11-30,121.6636472381781,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2010-12-31,124.88598956750025,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2011-01-31,123.39882901394502,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2011-02-28,124.00172179412942,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2011-03-31,125.56309426668486,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2011-04-30,125.71637159990945,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2011-05-31,125.53759783417051,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2011-06-30,124.72187825813886,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2011-07-31,124.2611427624422,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2011-08-31,122.14993703666538,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2011-09-30,118.99670996613148,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2011-10-31,119.12125639091468,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2011-11-30,117.94077093187592,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2011-12-31,118.2216086770813,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2012-01-31,119.68390760772776,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2012-02-29,120.98420595220854,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2012-03-31,122.79833535764229,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2012-04-30,125.29820137623439,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2012-05-31,126.10353156673945,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2012-06-30,124.10228896982443,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2012-07-31,125.11318037403767,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2012-08-31,124.78732283236849,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2012-09-30,125.91665831905821,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2012-10-31,125.84725350845409,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2012-11-30,124.86551558512075,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2012-12-31,125.97895889397704,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2013-01-31,126.93063032973372,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2013-02-28,128.67692869425628,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2013-03-31,129.06360023242337,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2013-04-30,128.6791256956487,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2013-05-31,129.74234029416198,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2013-06-30,130.3354542623676,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2013-07-31,131.63708434664179,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2013-08-31,133.3153176201048,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2013-09-30,136.108929355098,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2013-10-31,136.45959941572679,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2013-11-30,137.6093305851333,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2013-12-31,138.12463648053838,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2014-01-31,140.72380659230961,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2014-02-28,142.29898838418,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2014-03-31,141.74925905786216,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2014-04-30,138.65390923108893,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2014-05-31,138.83321675407345,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2014-06-30,139.9682579946821,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2014-07-31,138.6215302796679,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2014-08-31,139.35618134529463,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2014-09-30,138.47739539072174,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2014-10-31,137.59977797373585,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2014-11-30,137.64119193323293,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2014-12-31,139.4860692922284,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2015-01-31,142.2264829286704,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2015-02-28,145.06459284491442,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2015-03-31,147.163589258449,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2015-04-30,145.72902136169267,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2015-05-31,149.28106282815753,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2015-06-30,149.50776298397685,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2015-07-31,152.1028706259181,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2015-08-31,152.41537629644154,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2015-09-30,153.1737721901736,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2015-10-31,153.33460627668885,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2015-11-30,155.00960732678985,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2015-12-31,156.60002473347765,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2016-01-31,153.5071215459991,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2016-02-29,154.2535065135203,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2016-03-31,156.8947476017061,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2016-04-30,156.4945362271885,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2016-05-31,159.1322851707818,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2016-06-30,157.33028939676953,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2016-07-31,159.98803140054633,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2016-08-31,161.30333548551405,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2016-09-30,163.34295506038393,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2016-10-31,162.77364558855476,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2016-11-30,165.62918170955024,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2016-12-31,165.82613945125996,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2017-01-31,168.71242616747807,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2017-02-28,169.6150887030336,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2017-03-31,168.51857859785727,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2017-04-30,170.26253132698517,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2017-05-31,170.19250702888368,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2017-06-30,171.74522009761787,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2017-07-31,172.98973260472872,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2017-08-31,173.03308672258245,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2017-09-30,174.11492851242352,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2017-10-31,174.7433975386966,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2017-11-30,174.64188744296465,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2017-12-31,175.59626987570098,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2018-01-31,177.6306716116812,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2018-02-28,178.1116150588352,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2018-03-31,176.3912311564486,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2018-04-30,177.38398713330338,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2018-05-31,180.25100879341147,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2018-06-30,179.11213515508882,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2018-07-31,177.47638899068835,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2018-08-31,180.14960915447566,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2018-09-30,179.7985320276748,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2018-10-31,175.0533517937097,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2018-11-30,172.51701974567524,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2018-12-31,171.88636377918877,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2019-01-31,170.8218703740152,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2019-02-28,170.05353013729965,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2019-03-31,170.76865298823606,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2019-04-30,169.54593083735637,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2019-05-31,174.21091292860015,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2019-06-30,172.59817615569403,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2019-07-31,172.15965048581728,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2019-08-31,172.9193342873547,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2019-09-30,172.00926451143127,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2019-10-31,172.8194779329924,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2019-11-30,176.18434702082203,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2019-12-31,179.60125556052134,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2020-01-31,180.75863884710117,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2020-02-29,177.16345042060067,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2020-03-31,168.900548898855,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2020-04-30,176.13003384260384,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2020-05-31,179.08830010285308,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2020-06-30,179.93178937935033,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2020-07-31,185.4211166486554,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2020-08-31,187.90418713836934,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2020-09-30,190.97248086249567,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2020-10-31,192.51339843759578,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2020-11-30,187.248414382609,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2020-12-31,191.81476368075928,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2021-01-31,198.7931491574838,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2021-02-28,197.8480934241483,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2021-03-31,196.13873592810856,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2021-04-30,198.10883762257762,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2021-05-31,199.69022492064224,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2021-06-30,199.70375066120533,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2021-07-31,198.68091181172414,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2021-08-31,201.2464886859146,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2021-09-30,201.228268125769,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2021-10-31,201.93961877007442,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2021-11-30,199.9476639404237,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2021-12-31,200.76463799997902,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2022-01-31,194.48323000340355,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2022-02-28,194.67842099575066,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2022-03-31,197.33698995130467,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2022-04-30,199.40610021263947,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2022-05-31,199.99352849549507,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2022-06-30,197.7380320088837,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2022-07-31,197.00008171660784,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2022-08-31,198.69481788841827,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2022-09-30,196.65552551774596,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2022-10-31,200.53264743062567,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2022-11-30,198.1585245332206,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2022-12-31,202.0630779863032,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2023-01-31,194.5935676108083,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2023-02-28,196.0358382858861,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2023-03-31,190.76154028753396,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2023-04-30,191.42047657691947,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2023-05-31,191.62229597532115,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2023-06-30,192.19328786678685,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2023-07-31,192.5496501041737,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2023-08-31,192.20989939660024,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2023-09-30,190.58059821927685,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2023-10-31,187.9911358575365,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2023-11-30,192.31171297506356,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2023-12-31,195.26760374626974,Global Minimum Variance portfolio,Global Minimum Variance portfolio
2024-01-31,196.90026479641287,Global Minimum Variance portfolio,Global Minimum Variance portfolio
