TIME_PERIOD,Value,Initial guarantee,Strategy ID,Fund name,L_target,L_trigger,m,b
2007-08-31,80.0,124.15915428056094,Tie in for TDF 2017-08-31,TDF 2017-08-31,1.25,1.3,,
2007-08-31,20.0,124.15915428056094,Tie in for TDF 2017-08-31,"{""Market_Return"",""EU""}",1.25,1.3,,
2007-09-30,20.327692833712835,124.15915428056094,Tie in for TDF 2017-08-31,"{""Market_Return"",""EU""}",1.25,1.3,,
2007-09-30,80.02938775324529,124.15915428056094,Tie in for TDF 2017-08-31,TDF 2017-08-31,1.25,1.3,,
2007-10-31,81.1131220681433,124.15915428056094,Tie in for TDF 2017-08-31,TDF 2017-08-31,1.25,1.3,,
2007-10-31,20.885223660172098,124.15915428056094,Tie in for TDF 2017-08-31,"{""Market_Return"",""EU""}",1.25,1.3,,
2007-11-30,19.694838465157616,124.15915428056094,Tie in for TDF 2017-08-31,"{""Market_Return"",""EU""}",1.25,1.3,,
2007-11-30,81.88849833759133,124.15915428056094,Tie in for TDF 2017-08-31,TDF 2017-08-31,1.25,1.3,,
2007-12-31,19.37843322301178,124.15915428056094,Tie in for TDF 2017-08-31,"{""Market_Return"",""EU""}",1.25,1.3,,
2007-12-31,81.03049335703876,124.15915428056094,Tie in for TDF 2017-08-31,TDF 2017-08-31,1.25,1.3,,
2008-01-31,17.298919512441334,124.15915428056094,Tie in for TDF 2017-08-31,"{""Market_Return"",""EU""}",1.25,1.3,,
2008-01-31,83.87872791153603,124.15915428056094,Tie in for TDF 2017-08-31,TDF 2017-08-31,1.25,1.3,,
2008-02-29,84.0440742922765,124.15915428056094,Tie in for TDF 2017-08-31,TDF 2017-08-31,1.25,1.3,,
2008-02-29,17.312450344708502,124.15915428056094,Tie in for TDF 2017-08-31,"{""Market_Return"",""EU""}",1.25,1.3,,
2008-03-31,83.90984495293266,124.15915428056094,Tie in for TDF 2017-08-31,TDF 2017-08-31,1.25,1.3,,
2008-03-31,16.67422161089705,124.15915428056094,Tie in for TDF 2017-08-31,"{""Market_Return"",""EU""}",1.25,1.3,,
2008-04-30,17.759495957937137,124.15915428056094,Tie in for TDF 2017-08-31,"{""Market_Return"",""EU""}",1.25,1.3,,
2008-04-30,82.83905175996433,124.15915428056094,Tie in for TDF 2017-08-31,TDF 2017-08-31,1.25,1.3,,
2008-05-31,17.96924514652697,124.15915428056094,Tie in for TDF 2017-08-31,"{""Market_Return"",""EU""}",1.25,1.3,,
2008-05-31,81.24962605048638,124.15915428056094,Tie in for TDF 2017-08-31,TDF 2017-08-31,1.25,1.3,,
2008-06-30,16.157827330536517,124.15915428056094,Tie in for TDF 2017-08-31,"{""Market_Return"",""EU""}",1.25,1.3,,
2008-06-30,79.73443994523376,124.15915428056094,Tie in for TDF 2017-08-31,TDF 2017-08-31,1.25,1.3,,
2008-07-31,15.742626155996158,124.15915428056094,Tie in for TDF 2017-08-31,"{""Market_Return"",""EU""}",1.25,1.3,,
2008-07-31,81.72847548036358,124.15915428056094,Tie in for TDF 2017-08-31,TDF 2017-08-31,1.25,1.3,,
2008-08-31,83.28527075131935,124.15915428056094,Tie in for TDF 2017-08-31,TDF 2017-08-31,1.25,1.3,,
2008-08-31,15.939467790571852,124.15915428056094,Tie in for TDF 2017-08-31,"{""Market_Return"",""EU""}",1.25,1.3,,
2008-09-30,83.68947411518938,124.15915428056094,Tie in for TDF 2017-08-31,TDF 2017-08-31,1.25,1.3,,
2008-09-30,13.9880030057106,124.15915428056094,Tie in for TDF 2017-08-31,"{""Market_Return"",""EU""}",1.25,1.3,,
2008-10-31,84.56740912557758,124.15915428056094,Tie in for TDF 2017-08-31,TDF 2017-08-31,1.25,1.3,,
2008-10-31,12.258567207476064,124.15915428056094,Tie in for TDF 2017-08-31,"{""Market_Return"",""EU""}",1.25,1.3,,
2008-11-30,88.25042801342181,124.15915428056094,Tie in for TDF 2017-08-31,TDF 2017-08-31,1.25,1.3,,
2008-11-30,11.400563534164927,124.15915428056094,Tie in for TDF 2017-08-31,"{""Market_Return"",""EU""}",1.25,1.3,,
2008-12-31,89.45901931136594,124.15915428056094,Tie in for TDF 2017-08-31,TDF 2017-08-31,1.25,1.3,,
2008-12-31,11.128218152291002,124.15915428056094,Tie in for TDF 2017-08-31,"{""Market_Return"",""EU""}",1.25,1.3,,
2009-01-31,87.5955162718746,124.15915428056094,Tie in for TDF 2017-08-31,TDF 2017-08-31,1.25,1.3,,
2009-01-31,10.73418009132462,124.15915428056094,Tie in for TDF 2017-08-31,"{""Market_Return"",""EU""}",1.25,1.3,,
2009-02-28,9.782280762142559,124.15915428056094,Tie in for TDF 2017-08-31,"{""Market_Return"",""EU""}",1.25,1.3,,
2009-02-28,88.94380290343737,124.15915428056094,Tie in for TDF 2017-08-31,TDF 2017-08-31,1.25,1.3,,
2009-03-31,89.76596380884843,124.15915428056094,Tie in for TDF 2017-08-31,TDF 2017-08-31,1.25,1.3,,
2009-03-31,9.94619428975067,124.15915428056094,Tie in for TDF 2017-08-31,"{""Market_Return"",""EU""}",1.25,1.3,,
