Strategy ID,Initial guarantee,b,m,L_target,L_trigger,TIME_PERIOD,Value
Tie in for TDF 2017-08-31,124.15915428056094,,,1.25,1.3,2017-08-31,152.827148063806
Tie in for TDF 2017-09-30,124.61773507875961,,,1.25,1.3,2017-09-30,153.6702609222965
Tie in for TDF 2017-10-31,123.42501505298722,,,1.25,1.3,2017-10-31,152.30161308703816
Tie in for TDF 2017-11-30,122.77810119081525,,,1.25,1.3,2017-11-30,152.85654949426626
Tie in for TDF 2017-12-31,124.59862366222048,,,1.25,1.3,2017-12-31,155.27403621485135
Tie in for TDF 2018-01-31,120.86371559201794,,,1.25,1.3,2018-01-31,155.7975397224208
Tie in for TDF 2018-02-28,121.25235144565036,,,1.25,1.3,2018-02-28,154.97636148735728
Tie in for TDF 2018-03-31,121.90522032839957,,,1.25,1.3,2018-03-31,156.40477286459182
Tie in for TDF 2018-04-30,124.00866892990729,,,1.25,1.3,2018-04-30,157.83467935763434
Tie in for TDF 2018-05-31,126.94015067402944,,,1.25,1.3,2018-05-31,160.5561041525372
Tie in for TDF 2018-06-30,130.07423620913187,,,1.25,1.3,2018-06-30,167.27711570423327
Tie in for TDF 2018-07-31,127.30653314763263,,,1.25,1.3,2018-07-31,166.205791995703
Tie in for TDF 2018-08-31,125.29617280760598,,,1.25,1.3,2018-08-31,163.09857595483493
Tie in for TDF 2018-09-30,125.47493105762072,,,1.25,1.3,2018-09-30,168.1966391268253
Tie in for TDF 2018-10-31,124.96199675595064,,,1.25,1.3,2018-10-31,170.29171457827061
Tie in for TDF 2018-11-30,119.37792595866016,,,1.25,1.3,2018-11-30,166.39156265743065
Tie in for TDF 2018-12-31,118.43316728045234,,,1.25,1.3,2018-12-31,164.58228214905273
Tie in for TDF 2019-01-31,121.89403072634043,,,1.25,1.3,2019-01-31,171.58667857519038
Tie in for TDF 2019-02-28,121.07293688775245,,,1.25,1.3,2019-02-28,175.4968643615248
Tie in for TDF 2019-03-31,120.50309401791067,,,1.25,1.3,2019-03-31,175.03609197134085
Tie in for TDF 2019-04-30,120.28713562620435,,,1.25,1.3,2019-04-30,171.3978766921829
Tie in for TDF 2019-05-31,124.37230975780412,,,1.25,1.3,2019-05-31,171.68154832453595
Tie in for TDF 2019-06-30,121.97418113377742,,,1.25,1.3,2019-06-30,171.30262948131227
Tie in for TDF 2019-07-31,118.6057982850965,,,1.25,1.3,2019-07-31,163.941737427943
Tie in for TDF 2019-08-31,117.82843946980509,,,1.25,1.3,2019-08-31,161.0870916740617
Tie in for TDF 2019-09-30,117.63165647064773,,,1.25,1.3,2019-09-30,161.17025033765887
Tie in for TDF 2019-10-31,118.0557785795068,,,1.25,1.3,2019-10-31,163.05374685662986
Tie in for TDF 2019-11-30,117.15408443703883,,,1.25,1.3,2019-11-30,162.73860216551998
Tie in for TDF 2019-12-31,118.1812545555632,,,1.25,1.3,2019-12-31,162.73687604641276
Tie in for TDF 2020-01-31,117.82844093295623,,,1.25,1.3,2020-01-31,162.82218125764265
Tie in for TDF 2020-02-29,117.29208683440113,,,1.25,1.3,2020-02-29,159.09911529205402
Tie in for TDF 2020-03-31,116.73253230794327,,,1.25,1.3,2020-03-31,151.9626957662687
Tie in for TDF 2020-04-30,116.56058680948996,,,1.25,1.3,2020-04-30,153.85309388331598
Tie in for TDF 2020-05-31,115.36735102858124,,,1.25,1.3,2020-05-31,154.69341395237933
Tie in for TDF 2020-06-30,116.99228554856813,,,1.25,1.3,2020-06-30,157.61782418340476
Tie in for TDF 2020-07-31,115.63044090110718,,,1.25,1.3,2020-07-31,154.27773781325448
Tie in for TDF 2020-08-31,111.86458453917604,,,1.25,1.3,2020-08-31,151.65316460019162
Tie in for TDF 2020-09-30,113.3666893912622,,,1.25,1.3,2020-09-30,152.15096633714455
Tie in for TDF 2020-10-31,113.69125346049327,,,1.25,1.3,2020-10-31,150.1457096476529
Tie in for TDF 2020-11-30,120.0337834964817,,,1.25,1.3,2020-11-30,161.03858202821297
Tie in for TDF 2020-12-31,120.83959667750975,,,1.25,1.3,2020-12-31,160.8744282300603
Tie in for TDF 2021-01-31,122.09236956640169,,,1.25,1.3,2021-01-31,161.7010499343451
Tie in for TDF 2021-02-28,121.98319835629516,,,1.25,1.3,2021-02-28,161.81400555359082
Tie in for TDF 2021-03-31,123.73009162524548,,,1.25,1.3,2021-03-31,167.02026059981046
Tie in for TDF 2021-04-30,124.46990462722457,,,1.25,1.3,2021-04-30,167.3742768023631
Tie in for TDF 2021-05-31,121.80317845228458,,,1.25,1.3,2021-05-31,165.8601771389263
Tie in for TDF 2021-06-30,123.28120384248865,,,1.25,1.3,2021-06-30,168.5593459260993
Tie in for TDF 2021-07-31,124.58587374853344,,,1.25,1.3,2021-07-31,171.47662332358084
Tie in for TDF 2021-08-31,118.95029892683382,,,1.25,1.3,2021-08-31,170.4093016707549
Tie in for TDF 2021-09-30,119.22179220451453,,,1.25,1.3,2021-09-30,171.65203901619614
Tie in for TDF 2021-10-31,123.59972206701975,,,1.25,1.3,2021-10-31,175.29294447597326
Tie in for TDF 2021-11-30,129.96735315336142,,,1.25,1.3,2021-11-30,182.02340498696753
Tie in for TDF 2021-12-31,122.69301615791687,,,1.25,1.3,2021-12-31,175.27439491777073
