Strategy ID,Initial guarantee,b,m,L_target,L_trigger,TIME_PERIOD,Value
Tie in for TDF 2017-08-31,119.38380219284706,,,1.3,1.35,2017-08-31,165.78482530254345
Tie in for TDF 2017-08-31,119.38380219284706,,,1.3,1.375,2017-08-31,166.0099146181145
Tie in for TDF 2017-08-31,119.38380219284706,,,1.3,1.4,2017-08-31,166.3395470912037
Tie in for TDF 2017-08-31,119.38380219284706,,,1.3,1.4249999999999998,2017-08-31,166.3395470912037
Tie in for TDF 2017-08-31,119.38380219284706,,,1.3,1.4499999999999997,2017-08-31,166.3395470912037
Tie in for TDF 2017-08-31,119.38380219284706,,,1.3,1.4749999999999996,2017-08-31,166.3395470912037
Tie in for TDF 2017-08-31,119.38380219284706,,,1.3,1.4999999999999996,2017-08-31,166.3395470912037
Tie in for TDF 2017-08-31,119.38380219284706,,,1.3,1.5249999999999995,2017-08-31,166.3395470912037
Tie in for TDF 2017-08-31,119.38380219284706,,,1.3,1.5499999999999994,2017-08-31,166.3395470912037
Tie in for TDF 2017-08-31,119.38380219284706,,,1.3,1.5749999999999993,2017-08-31,166.3395470912037
Tie in for TDF 2017-08-31,119.38380219284706,,,1.3,1.5999999999999992,2017-08-31,166.3395470912037
Tie in for TDF 2017-08-31,119.38380219284706,,,1.3,1.6249999999999991,2017-08-31,166.3395470912037
Tie in for TDF 2017-08-31,119.38380219284706,,,1.3,1.649999999999999,2017-08-31,166.3395470912037
Tie in for TDF 2017-08-31,119.38380219284706,,,1.3,1.674999999999999,2017-08-31,166.3395470912037
Tie in for TDF 2017-08-31,119.38380219284706,,,1.3,1.6999999999999988,2017-08-31,166.3395470912037
Tie in for TDF 2017-08-31,119.38380219284706,,,1.3,1.7249999999999988,2017-08-31,166.3395470912037
Tie in for TDF 2017-08-31,119.38380219284706,,,1.3,1.7499999999999987,2017-08-31,166.3395470912037
Tie in for TDF 2017-08-31,119.38380219284706,,,1.3,1.7749999999999986,2017-08-31,166.3395470912037
Tie in for TDF 2017-09-30,119.82474526803807,,,1.3,1.35,2017-09-30,166.43392811951804
Tie in for TDF 2017-09-30,119.82474526803807,,,1.3,1.375,2017-09-30,166.6913869338007
Tie in for TDF 2017-09-30,119.82474526803807,,,1.3,1.4,2017-09-30,167.00774260886342
Tie in for TDF 2017-09-30,119.82474526803807,,,1.3,1.4249999999999998,2017-09-30,167.00774260886342
Tie in for TDF 2017-09-30,119.82474526803807,,,1.3,1.4499999999999997,2017-09-30,167.00774260886342
Tie in for TDF 2017-09-30,119.82474526803807,,,1.3,1.4749999999999996,2017-09-30,167.00774260886342
Tie in for TDF 2017-09-30,119.82474526803807,,,1.3,1.4999999999999996,2017-09-30,167.00774260886342
Tie in for TDF 2017-09-30,119.82474526803807,,,1.3,1.5249999999999995,2017-09-30,167.00774260886342
Tie in for TDF 2017-09-30,119.82474526803807,,,1.3,1.5499999999999994,2017-09-30,167.00774260886342
Tie in for TDF 2017-09-30,119.82474526803807,,,1.3,1.5749999999999993,2017-09-30,167.00774260886342
Tie in for TDF 2017-09-30,119.82474526803807,,,1.3,1.5999999999999992,2017-09-30,167.00774260886342
Tie in for TDF 2017-09-30,119.82474526803807,,,1.3,1.6249999999999991,2017-09-30,167.00774260886342
Tie in for TDF 2017-09-30,119.82474526803807,,,1.3,1.649999999999999,2017-09-30,167.00774260886342
Tie in for TDF 2017-09-30,119.82474526803807,,,1.3,1.674999999999999,2017-09-30,167.00774260886342
Tie in for TDF 2017-09-30,119.82474526803807,,,1.3,1.6999999999999988,2017-09-30,167.00774260886342
Tie in for TDF 2017-09-30,119.82474526803807,,,1.3,1.7249999999999988,2017-09-30,167.00774260886342
Tie in for TDF 2017-09-30,119.82474526803807,,,1.3,1.7499999999999987,2017-09-30,167.00774260886342
Tie in for TDF 2017-09-30,119.82474526803807,,,1.3,1.7749999999999986,2017-09-30,167.00774260886342
Tie in for TDF 2017-10-31,118.67789908941079,,,1.3,1.35,2017-10-31,165.7316108143154
Tie in for TDF 2017-10-31,118.67789908941079,,,1.3,1.375,2017-10-31,165.90625685949567
Tie in for TDF 2017-10-31,118.67789908941079,,,1.3,1.4,2017-10-31,166.38197277198998
Tie in for TDF 2017-10-31,118.67789908941079,,,1.3,1.4249999999999998,2017-10-31,166.38197277198998
Tie in for TDF 2017-10-31,118.67789908941079,,,1.3,1.4499999999999997,2017-10-31,166.38197277198998
Tie in for TDF 2017-10-31,118.67789908941079,,,1.3,1.4749999999999996,2017-10-31,166.38197277198998
Tie in for TDF 2017-10-31,118.67789908941079,,,1.3,1.4999999999999996,2017-10-31,166.38197277198992
Tie in for TDF 2017-10-31,118.67789908941079,,,1.3,1.5249999999999995,2017-10-31,166.38197277198998
Tie in for TDF 2017-10-31,118.67789908941079,,,1.3,1.5499999999999994,2017-10-31,166.38197277198998
Tie in for TDF 2017-10-31,118.67789908941079,,,1.3,1.5749999999999993,2017-10-31,166.38197277198992
Tie in for TDF 2017-10-31,118.67789908941079,,,1.3,1.5999999999999992,2017-10-31,166.38197277198992
Tie in for TDF 2017-10-31,118.67789908941079,,,1.3,1.6249999999999991,2017-10-31,166.38197277198998
Tie in for TDF 2017-10-31,118.67789908941079,,,1.3,1.649999999999999,2017-10-31,166.38197277198992
