DateID,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
199011,24.28,32.93,36.06,37.86,39.51,159.73,143.60,151.28,146.98,158.40,321.73,319.16,335.67,297.07,305.97,675.82,616.06,657.85,597.78,609.52,2236.82,2603.49,3847.62,3417.47,4498.52
199012,24.39,31.88,36.20,36.28,39.16,153.43,150.54,151.33,155.24,157.70,320.50,316.78,329.14,313.82,305.93,684.67,625.15,623.30,644.11,644.48,2510.16,2763.53,4042.16,3896.31,3750.03
199101,24.23,34.19,33.86,36.80,37.71,153.00,152.52,149.83,150.27,160.45,318.62,314.04,334.34,305.89,316.77,678.90,599.00,692.24,615.00,646.22,2398.89,3052.96,3670.20,4075.05,3933.35
199102,24.38,34.21,36.15,38.09,37.65,157.45,163.06,146.92,153.38,167.66,330.34,327.51,316.17,333.60,330.05,683.96,650.50,681.83,667.77,722.63,2752.98,3585.73,3395.16,4712.62,3648.35
199103,27.24,39.20,36.88,39.00,41.61,177.25,172.81,153.17,172.87,182.21,363.57,331.89,354.10,346.13,372.70,748.67,729.98,752.50,708.51,778.31,2884.12,3505.09,3974.10,4703.07,4022.66
199104,25.86,34.76,38.22,36.26,40.38,160.43,151.07,159.99,161.80,170.60,339.13,323.63,320.80,332.43,341.54,660.89,685.07,702.30,704.77,707.60,2803.77,2775.36,3875.09,3909.27,4047.59
199105,26.48,31.28,36.42,37.47,39.47,157.31,144.47,152.85,163.40,171.45,335.08,313.12,331.74,317.97,348.33,691.41,666.36,692.80,680.21,698.17,2920.02,3000.07,2821.89,4266.42,4460.13
199106,26.05,34.68,35.16,34.74,37.73,156.75,158.71,160.12,163.49,164.63,341.47,329.99,323.91,318.12,348.16,715.27,635.94,653.45,681.82,714.79,2369.82,3287.07,3394.85,3925.77,4761.97
199107,25.14,32.30,31.11,34.57,34.68,151.19,145.29,145.80,149.18,154.93,308.36,309.17,308.52,294.70,323.92,667.30,601.76,592.02,671.80,649.24,2233.35,2654.04,2899.16,3631.77,4823.00
199108,25.94,34.95,32.24,31.48,34.71,155.92,146.68,147.75,145.97,158.51,313.38,309.42,300.72,314.29,334.82,666.49,642.87,628.00,682.35,686.09,2052.67,2896.55,3159.46,4094.16,5155.79
199109,25.93,31.48,33.59,38.50,35.57,150.89,142.34,157.93,151.09,159.79,317.50,320.69,306.08,318.85,350.25,636.71,694.18,631.19,666.18,694.17,1961.83,3061.81,3387.92,4447.06,4513.64
