DateID,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
199011,-4.50,-3.33,-2.55,-2.23,-1.94,-2.43,-4.64,-1.70,-0.58,-1.16,-2.14,-1.16,-1.30,-1.38,-2.93,-0.85,-2.29,-0.34,-0.63,-1.11,-2.25,-0.24,0.99,1.11,1.80
199012,-2.22,-0.33,-0.63,0.31,-1.20,-1.98,1.29,-0.55,-0.05,0.60,-2.94,-2.15,0.83,1.78,1.18,-1.27,-1.23,0.04,0.26,-1.15,0.53,-0.24,-1.47,-0.94,-2.39
199101,-2.59,-3.41,-2.67,-1.75,-2.07,-1.08,-4.22,-0.94,-1.54,-1.62,0.61,-2.99,-1.41,-1.86,-2.81,3.57,-1.81,-2.50,0.49,-1.50,3.99,4.36,4.13,2.65,0.78
199102,14.17,8.92,5.01,3.44,4.71,18.06,11.07,7.78,6.23,8.44,18.51,10.13,8.92,6.89,6.71,16.01,12.15,8.98,5.18,7.30,11.90,8.31,7.58,5.54,4.78
199103,-1.43,-2.66,-3.67,-3.55,-2.94,-5.47,-5.32,-3.99,-4.35,-4.51,-4.96,-3.57,-6.55,-6.14,-5.28,-4.74,-5.10,-6.67,-6.74,-6.72,-7.56,-7.47,-7.36,-6.22,-5.45
199104,-3.09,-0.12,1.55,0.21,1.72,-2.36,-1.41,-1.83,1.42,-0.54,-1.55,-1.71,-1.32,-0.71,0.31,-1.80,-1.84,-1.87,0.70,-1.86,-1.25,1.04,-0.19,-0.45,-0.10
199105,-3.56,-2.76,-2.03,-1.34,-0.02,-1.46,-1.73,-1.58,-1.77,-2.63,-2.31,-1.33,-1.22,-1.53,-0.24,-0.51,-0.46,-0.96,-0.88,-1.96,4.97,2.53,2.69,0.70,0.48
199106,-8.27,-6.06,-5.51,-6.33,-4.99,-7.54,-7.51,-6.06,-6.89,-5.50,-6.54,-6.33,-5.71,-6.04,-5.34,-6.84,-6.17,-6.37,-5.68,-7.27,-6.10,-7.15,-8.83,-6.61,-7.05
199107,1.12,2.10,3.02,3.52,4.46,1.84,1.52,4.16,5.63,5.06,0.29,2.26,4.07,5.66,5.92,0.76,3.25,3.31,4.65,6.42,2.52,4.38,5.55,5.66,10.43
199108,0.19,0.00,-0.02,0.98,1.77,-1.02,1.77,1.24,1.22,4.70,1.40,1.40,1.52,1.91,14.53,1.02,2.29,0.63,1.02,4.17,1.90,1.65,2.55,2.42,1.24
199109,5.69,5.89,6.08,8.08,11.14,2.03,3.69,6.78,6.85,8.85,2.00,2.05,3.98,5.60,8.94,0.64,3.11,3.17,6.20,5.49,1.10,1.51,2.80,4.22,4.19
