TIME_PERIOD,Mkt_RF,SMB,HML,RF
2004-08-31,0.07,-1.52,1.08,0.11
2004-09-30,1.6,3.01,-0.05,0.11
2004-10-31,1.42,0.13,-0.26,0.11
2004-11-30,4.53,3.74,1.57,0.15
2004-12-31,3.42,-0.03,-0.23,0.16
2005-01-31,-2.75,-1.66,2.06,0.16
2005-02-28,1.88,-0.57,1.41,0.16
2005-03-31,-1.94,-1.41,2.07,0.21
2005-04-30,-2.61,-3.93,0.05,0.21
2005-05-31,3.65,2.86,-0.58,0.24
2005-06-30,0.58,2.56,2.8,0.23
2005-07-31,3.92,2.87,-0.78,0.24
2005-08-31,-1.2,-1.07,1.34,0.3
2005-09-30,0.48,-0.62,0.78,0.29
2005-10-31,-2.04,-1.3,0.43,0.27
2005-11-30,3.61,1.05,-1.18,0.31
2005-12-31,-0.24,-0.44,0.15,0.32
2006-01-31,3.03,5.46,0.99,0.35
2006-02-28,-0.3,-0.41,-0.31,0.34
2006-03-31,1.47,3.39,0.61,0.37
2006-04-30,0.73,-1.38,2.26,0.36
2006-05-31,-3.56,-3.01,2.38,0.43
2006-06-30,-0.35,-0.35,0.85,0.4
2006-07-31,-0.77,-3.95,2.62,0.4
2006-08-31,2.03,0.99,-1.95,0.42
2006-09-30,1.84,-1.3,0.06,0.41
2006-10-31,3.22,1.77,-0.33,0.41
2006-11-30,1.7,0.63,0.04,0.42
2006-12-31,0.85,-1.16,2.74,0.4
2007-01-31,1.38,0.09,-0.68,0.44
2007-02-28,-1.96,1.23,-0.08,0.38
2007-03-31,0.71,0.09,-0.88,0.43
2007-04-30,3.49,-2.21,-1.44,0.44
2007-05-31,3.23,0.16,-0.59,0.41
2007-06-30,-1.96,0.73,-1.05,0.4
2007-07-31,-3.72,-2.66,-3.68,0.4
2007-08-31,0.94,-0.11,-1.87,0.42
2007-09-30,3.22,-2.25,-2.17,0.32
2007-10-31,1.79,0.19,-2.87,0.32
2007-11-30,-4.8,-2.81,-1.09,0.34
2007-12-31,-0.87,0.11,-0.51,0.27
2008-01-31,-6.33,-1.02,4.0,0.21
2008-02-29,-3.09,-0.48,-0.72,0.13
2008-03-31,-0.94,0.71,0.31,0.17
2008-04-30,4.61,-1.69,-0.96,0.18
