DateID,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
192701,1.75,2.25,2.43,2.23,2.08,6.39,7.10,7.84,7.02,7.16,15.59,13.99,14.26,16.02,15.68,36.78,34.36,40.74,35.99,36.50,144.69,231.90,161.81,242.07,239.69
192702,1.91,2.34,2.18,2.52,2.02,7.44,6.89,8.49,6.61,7.53,15.33,14.69,15.25,15.14,15.84,38.58,33.39,37.90,42.27,36.44,135.77,119.33,180.10,250.38,238.51
192703,2.12,2.28,2.60,2.85,2.23,7.62,7.69,7.67,7.25,8.93,16.41,15.91,14.84,16.51,17.15,38.80,38.73,41.28,40.19,38.72,143.14,168.33,207.61,231.21,278.23
192704,1.79,2.38,2.53,2.19,1.92,7.51,6.98,7.76,7.19,7.66,14.93,14.57,15.43,15.26,16.39,32.65,39.80,44.01,37.60,38.45,-99.99,159.24,264.46,198.88,257.05
192705,2.02,2.16,2.43,2.76,2.30,7.28,7.61,7.00,7.64,7.86,15.25,14.01,15.56,15.64,16.93,34.30,42.24,38.27,39.01,37.52,464.83,175.56,185.90,244.42,301.00
192706,2.00,2.27,2.49,2.92,1.89,7.83,7.30,7.85,7.86,7.90,16.04,15.26,15.76,16.54,17.05,41.35,42.07,45.82,40.42,39.91,298.65,177.65,246.11,209.53,338.48
192707,1.80,2.43,2.51,1.73,2.52,7.15,8.22,8.43,7.33,7.58,14.45,14.92,16.04,15.76,17.15,38.86,41.14,41.49,38.92,39.33,120.62,199.54,189.67,277.09,299.18
192708,1.91,2.76,2.56,2.19,2.70,7.88,8.14,8.20,7.93,8.16,15.60,14.92,16.02,16.87,17.56,38.26,45.92,43.87,42.63,38.52,97.32,211.44,224.47,287.63,368.21
192709,1.86,2.22,2.39,2.22,2.49,8.02,8.17,7.95,8.08,7.80,14.55,15.71,16.57,17.70,17.65,41.48,44.13,44.59,44.66,38.65,94.05,202.52,272.70,210.00,405.35
192710,2.09,2.23,2.23,1.63,2.96,8.37,8.89,7.96,7.88,7.85,15.31,17.82,15.96,20.54,17.81,44.87,48.39,47.65,44.14,44.31,125.66,256.80,261.07,239.95,409.30
192711,1.89,2.40,1.95,2.45,2.62,6.89,8.86,7.25,7.78,8.00,14.12,16.85,17.26,17.79,17.42,37.33,48.70,42.41,44.68,41.88,121.87,260.20,265.65,202.92,415.28
192712,2.27,2.17,2.45,2.69,3.00,8.08,9.22,8.42,8.59,8.52,15.24,17.90,18.75,19.40,18.15,37.38,51.30,48.53,45.74,42.36,120.70,190.06,296.55,293.40,302.51
192801,2.39,2.59,2.04,1.96,2.82,8.72,8.65,9.11,8.97,8.81,19.13,19.17,19.88,19.74,19.95,49.22,53.61,47.76,44.80,50.51,126.58,280.46,294.32,226.50,388.46
192802,2.36,3.08,2.00,2.39,2.87,8.94,9.37,8.70,8.90,9.66,19.05,18.34,19.55,19.72,20.86,38.93,50.20,50.60,44.39,51.00,137.12,259.11,297.51,230.54,376.65
192803,2.16,2.84,2.90,2.49,2.69,8.52,9.40,8.93,8.43,9.21,17.10,19.89,19.99,19.76,19.57,40.80,50.27,48.82,42.59,49.01,137.56,263.73,291.24,251.34,336.45
192804,2.61,2.06,3.09,2.70,2.93,9.31,9.87,8.65,9.94,9.73,20.29,21.01,22.42,20.47,20.58,46.15,52.00,49.04,45.41,55.12,117.31,283.46,313.29,247.40,484.57
192805,2.83,2.57,3.49,3.38,3.12,9.53,10.32,9.88,9.99,9.73,23.33,23.23,22.99,20.53,21.44,50.40,53.63,55.41,51.70,52.85,133.71,263.78,401.09,239.67,428.02
192806,3.17,3.16,3.04,3.01,3.16,9.29,10.28,9.78,10.74,9.04,22.42,23.96,20.69,21.02,21.66,44.49,53.67,55.19,53.10,56.35,159.14,304.07,327.02,244.69,448.77
192807,3.07,2.70,2.68,2.59,2.85,8.64,9.39,9.47,9.36,8.60,22.09,20.13,20.69,20.95,20.22,40.20,51.20,50.66,52.68,50.58,143.93,254.40,353.86,261.00,407.26
192808,3.01,2.53,3.14,2.32,2.91,7.69,10.50,9.31,9.61,8.71,19.63,21.79,20.88,20.09,21.51,41.23,52.68,50.02,54.25,50.26,156.47,234.09,427.28,245.65,387.01
192809,3.05,2.48,2.99,2.90,2.70,8.19,10.13,10.02,10.39,8.89,22.10,23.65,22.62,21.09,22.76,47.13,54.05,55.65,54.76,56.30,177.95,249.41,447.62,264.82,401.22
192810,3.18,2.16,3.89,2.58,2.93,8.99,10.51,10.32,10.33,9.80,23.45,24.02,23.44,23.76,22.27,48.51,57.37,56.38,58.08,59.14,168.27,274.70,409.55,234.91,491.22
192811,3.05,3.28,2.93,3.59,2.84,9.28,10.50,10.54,11.02,10.17,24.31,22.95,23.92,22.56,23.92,55.37,49.96,57.57,58.33,59.68,249.28,280.48,333.71,349.83,470.75
192812,3.51,3.52,4.15,3.20,3.03,10.98,10.73,11.10,11.65,12.07,27.46,27.10,26.30,24.22,24.72,55.15,65.70,57.98,62.45,66.69,189.04,301.88,415.75,381.80,459.14
192901,3.46,3.75,4.29,2.89,2.96,11.33,10.28,11.17,12.73,11.11,27.74,26.40,27.78,27.94,24.35,66.98,70.48,65.23,67.40,65.24,165.80,317.96,353.23,553.95,362.88
192902,3.37,4.54,3.22,2.70,2.72,10.68,11.83,11.81,11.38,11.69,28.45,27.44,25.02,28.65,30.16,68.69,64.30,74.78,69.08,70.32,157.93,281.20,422.62,581.90,401.98
192903,3.44,4.09,3.84,2.80,2.81,11.13,11.27,11.78,13.62,10.81,28.85,27.41,27.99,29.14,27.46,57.44,68.61,71.30,66.97,69.82,135.05,272.35,503.00,380.55,425.34
192904,3.50,3.95,3.42,3.00,3.33,10.74,10.78,12.89,11.75,11.47,26.98,26.62,27.34,27.83,27.70,68.91,67.04,67.54,67.01,67.29,165.73,278.50,574.74,442.65,388.38
192905,3.28,3.88,3.45,3.74,2.61,11.66,10.73,11.90,12.80,10.67,25.75,26.49,28.34,26.82,30.57,61.64,74.14,66.52,65.43,68.87,120.61,187.36,496.64,492.57,391.35
192906,2.49,3.47,3.24,3.46,2.72,9.98,9.85,11.34,9.97,9.08,25.38,24.78,24.31,24.95,25.69,73.27,63.66,64.89,60.18,60.88,-99.99,188.04,453.88,445.43,388.39
192907,2.96,3.13,3.28,2.96,2.60,10.59,11.05,10.45,10.79,10.63,24.13,26.41,25.91,30.42,26.15,70.06,62.87,66.36,70.07,69.36,-99.99,387.54,301.07,525.21,430.36
