DateID,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199011,60.96,84.48,98.21,1390.76,1947.71,2388.73
199012,58.80,87.45,98.38,1372.87,2015.56,2383.39
199101,61.64,85.03,94.41,1507.17,1920.87,2399.48
199102,60.06,87.58,100.18,1561.73,2072.93,2425.28
199103,70.56,94.45,105.21,1581.99,2390.63,2472.93
199104,63.99,89.36,103.53,1513.57,1979.18,2533.75
199105,64.92,84.49,98.38,1506.49,1882.62,2685.95
199106,64.65,87.35,90.85,1420.08,2041.80,2597.14
199107,62.71,83.65,83.25,1147.50,1816.10,2689.66
199108,65.87,81.81,81.47,1210.25,1949.64,2798.62
199109,64.25,82.79,92.30,1229.70,2033.01,2745.36
199110,64.08,99.55,98.33,1132.90,2394.84,2513.92
199111,63.02,83.87,89.54,1189.15,2322.33,2273.04
199112,61.85,85.96,86.94,1283.54,2265.49,2224.99
199201,68.05,92.97,85.34,1294.36,2480.29,2513.59
199202,67.71,87.96,86.58,1370.37,2416.51,2628.88
199203,66.87,90.99,86.22,1272.67,2290.53,2829.51
199204,61.09,93.28,86.98,1157.81,2125.00,3027.93
199205,65.67,93.11,93.95,1525.79,2331.26,2814.10
199206,69.01,97.58,99.24,1448.46,2856.93,2667.67
199207,69.69,97.57,94.70,1264.28,2924.20,2660.20
199208,68.35,87.83,87.76,1399.04,2737.74,2413.96
199209,66.37,83.60,88.92,1323.25,2691.22,2640.38
199210,62.48,81.10,86.15,1301.09,2534.29,2775.69
199211,54.87,78.00,79.96,1185.98,2388.17,2559.90
199212,55.32,77.60,81.71,1152.69,2408.22,2635.44
199301,57.17,79.54,81.16,1255.56,2423.92,2664.88
199302,59.21,80.24,79.51,1388.28,2222.96,2792.45
199303,60.04,80.03,81.70,1646.17,2256.71,2650.33
199304,64.37,88.21,82.31,1572.20,2366.66,2930.73
199305,64.14,89.32,87.47,1684.45,2363.40,2910.98
199306,65.11,88.62,87.79,1666.23,2794.74,2363.06
199307,62.11,88.12,84.72,1781.62,2347.65,2533.66
199308,62.33,88.92,84.65,1706.25,2532.21,2387.19
199309,69.03,94.64,93.55,1975.02,2707.62,2554.97
199310,64.97,98.00,90.25,2190.57,2926.42,1892.27
199311,69.24,98.59,84.08,2382.12,2979.98,1959.70
199312,65.38,94.52,86.12,2498.97,2636.49,2123.86
199401,74.02,95.39,87.12,2623.03,3115.14,2093.95
199402,77.24,105.18,95.97,2172.38,3411.43,2502.39
199403,72.64,99.46,89.15,2576.02,2944.24,2061.46
199404,72.67,96.86,81.46,2935.23,2434.03,1886.74
199405,79.26,94.24,83.17,2889.20,2679.42,1973.82
199406,71.97,95.29,81.24,2618.34,2705.06,1906.89
199407,72.81,91.64,80.00,2759.67,2651.11,1647.30
199408,77.38,91.74,83.45,3102.71,2677.86,1751.36
199409,82.62,93.54,83.32,3089.43,2788.85,1892.38
199410,78.32,92.07,81.70,2481.14,2809.94,2099.50
199411,84.22,92.84,82.64,3058.07,2897.48,1856.13
199412,77.94,91.12,79.29,2717.71,2733.33,2035.77
199501,78.96,89.62,80.72,2614.53,2835.35,1982.57
199502,74.39,90.45,83.03,2236.32,2838.22,2275.13
199503,76.86,92.46,85.85,1818.61,3025.52,2790.73
199504,80.10,95.83,89.43,1752.57,2897.37,3603.80
199505,80.61,100.34,91.48,1929.27,2907.21,3888.42
199506,83.49,97.39,97.17,1873.04,3226.78,3598.95
199507,82.59,103.75,100.65,1856.17,3448.58,3447.29
199508,85.67,105.20,105.94,2273.91,3432.46,3562.15
199509,83.62,103.45,98.90,2065.74,3372.64,3401.91
199510,82.75,108.01,107.12,1920.08,3283.56,4007.60
199511,81.07,104.09,106.44,2111.35,3447.57,3640.49
199512,81.00,99.96,102.33,2012.62,3321.07,3998.34
199601,84.30,100.27,108.38,1951.41,3675.34,4191.73
199602,85.68,102.68,111.96,2085.99,3598.46,4354.91
199603,86.81,108.80,117.32,1960.54,3823.70,4181.03
