DateID,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199011,1190,776,626,325,436,290
199012,1240,776,631,324,434,289
199101,1208,820,613,316,428,286
199102,1311,810,588,312,422,286
199103,1410,784,540,315,424,291
199104,1336,901,501,322,432,292
199105,1299,926,569,321,425,296
199106,1285,801,729,322,425,292
199107,1400,735,657,331,423,293
199108,1358,814,658,336,421,295
199109,1479,793,555,342,421,297
199110,1700,643,488,349,424,301
199111,1489,788,602,341,432,302
199112,1392,762,704,339,434,301
199201,1412,753,741,329,434,298
199202,1325,752,825,329,423,299
199203,1430,764,755,329,436,299
199204,1523,796,654,334,426,301
199205,1555,784,670,331,420,297
199206,1523,798,678,324,411,296
199207,1490,788,692,325,413,294
199208,1502,820,790,329,417,297
199209,1459,920,802,324,410,296
199210,1522,975,753,321,406,289
199211,1555,1050,648,311,409,289
199212,1726,996,539,309,404,283
199301,1744,934,542,308,401,281
199302,1634,986,636,306,413,288
199303,1625,971,678,308,412,287
199304,1777,889,629,310,418,289
199305,1645,917,721,321,416,295
199306,1610,863,793,315,418,295
199307,1656,857,769,318,421,294
199308,1656,837,775,319,430,297
199309,1706,785,781,328,421,299
199310,1690,756,901,333,425,301
199311,1590,854,1022,322,428,297
199312,1609,822,1046,327,425,300
199401,1559,851,1135,328,420,296
199402,1664,826,1013,338,435,310
199403,1517,949,1135,347,457,325
199404,1431,938,1256,362,475,327
199405,1409,990,1241,358,472,328
199406,1407,1064,1144,360,469,334
199407,1310,1023,1303,366,477,334
199408,1203,1036,1402,358,479,329
199409,1243,1134,1222,357,471,329
199410,1348,1074,1205,360,480,336
199411,1060,1212,1363,353,481,331
199412,1242,1177,1280,354,486,332
199501,1170,1111,1426,367,474,329
199502,1290,1096,1344,367,485,334
199503,1398,1091,1266,357,480,333
199504,1513,1097,1157,356,463,327
199505,1471,1081,1241,339,456,325
199506,1778,1133,926,350,460,326
199507,1911,1067,842,342,461,326
199508,1623,1199,974,338,457,324
199509,1817,1125,913,350,455,324
199510,2039,1056,815,342,455,325
199511,1918,1119,902,344,449,320
199512,1809,1228,924,339,447,319
199601,1900,1293,800,335,430,314
199602,2048,1266,726,331,432,308
199603,2224,1082,717,347,437,315
199604,2206,1048,773,338,442,314
199605,1995,1126,881,329,435,312
199606,2088,1071,878,336,436,315
199607,2077,1068,919,340,442,312
199608,1942,1104,1011,339,440,317
199609,1939,1139,988,331,432,310
199610,2105,992,1025,325,420,306
199611,2121,1095,929,331,423,308
199612,2075,1107,1024,325,420,304
199701,2095,1104,1016,319,415,300
199702,2093,1110,993,329,423,306
199703,2108,1061,1022,334,431,308
199704,2091,1033,1052,330,423,308
199705,2146,1025,1055,322,419,303
199706,2257,1034,965,321,419,299
199707,2271,1097,936,312,409,290
199708,2422,1127,817,299,395,281
199709,2556,1037,733,316,413,292
199710,2356,1095,900,306,404,285
199711,2463,1141,767,312,427,295
199712,2243,1273,921,313,413,290
199801,2244,1332,896,303,393,279
199802,2442,1278,771,304,401,276
199803,2446,1381,675,287,384,270
199804,2568,1312,617,289,387,273
199805,2656,1178,648,297,388,279
199806,2695,1146,664,299,398,281
199807,2587,1140,815,287,386,272
199808,2329,1411,841,287,379,266
199809,2562,1352,630,286,373,265
199810,2104,1622,817,286,372,261
199811,2280,1548,793,277,357,251
199812,2522,1396,721,264,347,241
199901,2617,1310,730,252,329,230
199902,2582,1379,702,252,324,230
199903,2407,1471,756,253,328,232
199904,2228,1500,896,246,330,231
199905,2337,1367,931,257,326,233
199906,2523,1153,949,271,344,243
199907,2285,1405,1002,261,339,241
199908,2211,1470,1009,263,347,248
199909,2383,1385,900,280,356,254
199910,2489,1301,844,280,360,254
199911,2005,1487,1173,266,356,248
199912,1932,1582,1155,260,343,245
200001,1827,1733,1164,246,323,231
200002,1932,1686,1054,265,341,245
200003,1543,2016,1128,258,341,240
200004,1395,2100,1223,247,324,236
200005,1664,1829,1277,243,315,229
200006,1952,1647,1163,252,330,231
200007,2013,1605,1210,250,328,235
200008,2067,1770,1036,246,325,234
200009,2176,1652,1012,250,328,233
200010,2352,1439,1026,254,335,236
200011,2187,1548,1114,238,312,225
200012,2403,1435,1071,238,313,221
200101,2173,1763,1006,234,311,218
200102,2617,1585,718,239,318,222
200103,2596,1648,669,239,324,227
200104,2681,1515,800,234,319,222
200105,2477,1643,943,223,312,215
200106,2635,1487,974,232,316,219
200107,2641,1565,995,233,305,214
