DateId,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
192701,-0.01,3.69,0.50,-0.40,0.06,0.23
192702,6.73,6.35,5.82,6.55,3.98,4.45
192703,-3.15,-3.14,-1.99,-3.64,-0.18,2.25
192704,-0.70,-0.46,3.48,-2.72,0.73,1.81
192705,2.50,11.23,6.64,5.50,5.04,6.92
192706,-2.04,-0.41,-2.93,-3.88,-2.10,-1.89
192707,3.07,4.43,6.72,4.62,7.82,9.41
192708,-0.26,-0.18,0.29,1.42,2.15,3.38
192709,2.55,0.27,3.03,2.80,4.94,6.18
192710,-4.92,-1.76,-3.33,-2.11,-3.35,-5.55
192711,10.47,9.65,6.78,5.12,5.92,8.36
192712,0.53,5.34,4.57,1.23,1.66,3.42
192801,2.70,3.61,0.69,-1.93,-0.24,-0.83
192802,-3.53,-1.92,-4.82,-0.88,-0.96,-1.73
192803,6.64,7.70,7.46,6.76,5.31,15.34
192804,8.68,10.71,6.06,11.08,4.04,2.01
192805,2.82,2.50,3.81,-1.14,1.09,3.15
192806,-9.13,-7.19,-6.71,-5.26,-4.03,-4.10
192807,-1.66,-0.68,2.02,-0.16,0.79,1.50
192808,5.09,2.22,6.39,4.34,6.13,10.39
192809,4.00,5.93,7.18,1.48,1.86,5.11
192810,0.24,1.07,7.25,0.66,0.76,3.88
192811,9.98,11.37,10.31,8.92,13.53,12.15
192812,-2.72,0.56,-1.88,-0.63,0.18,1.69
192901,-0.04,2.05,3.15,4.12,5.17,5.79
192902,-0.32,1.27,3.15,-1.73,-0.83,1.00
192903,-4.43,-5.65,-3.99,0.60,0.73,-0.93
192904,1.64,-0.46,1.91,-1.20,1.81,2.67
192905,-10.94,-8.54,-12.03,-3.38,-4.51,-6.95
192906,4.31,6.23,9.80,3.32,7.67,14.45
192907,0.31,0.93,2.16,0.70,5.13,4.76
192908,-1.47,0.15,1.42,5.20,7.60,11.12
192909,-5.71,-4.21,-1.88,-7.42,-3.63,-5.33
192910,-23.72,-19.37,-25.87,-27.80,-11.40,-20.76
192911,-12.67,-10.51,-17.32,-14.28,-8.09,-13.75
192912,-7.79,-2.14,0.08,0.24,-1.61,3.24
193001,17.53,8.86,5.53,4.06,5.56,5.14
193002,4.09,2.89,3.84,0.48,1.84,3.03
193003,12.36,11.01,6.62,9.92,6.28,7.20
193004,-5.56,-6.73,-1.78,-6.00,-2.23,-1.52
193005,-6.03,-0.89,-3.77,2.81,-2.27,-0.97
193006,-24.97,-17.94,-16.78,-17.76,-17.06,-14.26
193007,4.72,3.41,3.02,5.67,6.66,3.08
193008,-3.66,-2.30,0.88,-2.66,0.99,0.54
193009,-20.61,-16.42,-11.01,-23.47,-13.34,-9.90
193010,-12.32,-9.55,-9.00,-16.35,-9.63,-7.14
193011,-2.56,-3.15,-1.62,1.38,-3.53,-2.20
193012,-21.63,-14.72,-8.53,-16.19,-9.97,-4.33
193101,24.25,14.34,9.24,12.38,6.02,5.19
193102,20.97,15.87,10.94,24.87,14.29,7.74
193103,-12.78,-5.61,-2.30,-12.94,-8.54,-3.99
193104,-20.73,-16.55,-10.79,-18.64,-13.05,-6.58
193105,-17.06,-14.38,-6.36,-19.60,-14.41,-11.83
193106,25.70,16.88,9.64,29.72,18.29,10.58
193107,-11.38,-7.79,-2.64,-11.96,-9.15,-3.91
193108,-1.62,-2.48,-3.18,5.00,-0.05,0.33
193109,-39.26,-30.53,-30.24,-35.88,-29.86,-26.32
193110,10.70,9.25,11.88,4.04,8.07,8.80
193111,-13.60,-6.13,-8.17,-16.70,-11.05,-6.25
193112,-25.71,-22.33,-14.00,-23.73,-16.35,-9.53
193201,13.16,8.41,2.38,6.78,-2.71,-2.33
193202,2.71,0.72,5.20,5.67,5.21,6.15
193203,-15.04,-11.91,-6.72,-19.88,-13.85,-8.11
193204,-22.97,-18.72,-15.53,-23.03,-22.00,-15.20
193205,-25.63,-19.05,-20.39,-37.30,-22.23,-17.46
193206,3.17,5.98,7.94,1.03,-2.90,0.10
193207,63.31,42.27,22.10,72.58,40.83,22.31
193208,93.88,69.21,42.06,76.22,45.17,22.82
193209,-11.02,-6.00,-7.82,-5.01,-1.45,-3.29
193210,-16.35,-16.91,-17.65,-20.31,-11.00,-9.77
193211,-7.64,-8.62,-8.45,-9.25,-3.81,-10.36
193212,-10.48,-8.63,-1.82,4.15,4.93,4.77
193301,4.96,8.56,1.13,1.53,1.37,0.47
193302,-18.52,-19.62,-15.00,-19.75,-16.20,-13.98
193303,5.85,11.50,13.03,4.42,1.05,5.72
193304,58.10,48.28,46.98,52.55,44.42,28.87
193305,77.48,71.79,67.58,20.82,20.32,19.63
193306,19.34,22.73,20.92,10.27,12.13,17.04
193307,-10.17,-12.07,-11.58,-8.77,-10.78,-8.07
193308,8.68,11.37,9.96,7.26,16.64,21.06
193309,-18.63,-15.38,-15.72,-11.45,-8.60,-11.16
193310,-10.41,-13.08,-13.46,-7.48,-8.80,-8.84
193311,2.02,7.49,6.40,7.10,10.23,15.68
193312,-0.30,2.88,1.46,0.17,0.74,6.43
193401,38.40,34.13,35.85,14.37,11.13,10.14
193402,2.28,0.92,3.21,-2.35,-2.58,-3.11
193403,2.62,0.12,0.69,-0.03,-0.13,0.55
193404,3.40,0.88,-1.35,-0.64,-2.66,-5.51
193405,-10.56,-11.07,-12.42,-5.89,-8.33,-8.82
193406,-1.51,0.16,-1.59,3.50,2.90,2.01
193407,-23.97,-24.72,-18.00,-19.37,-10.57,-7.74
193408,11.11,11.40,14.80,4.43,5.27,5.85
