DateID,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
192701,4.32,7.56,6.89,48.98,105.24,134.10
192702,4.61,7.83,7.62,46.78,89.30,147.48
192703,5.15,7.33,9.47,50.23,133.87,113.74
192704,4.84,7.24,7.89,65.87,134.23,107.60
192705,4.69,7.52,8.26,64.01,124.50,112.48
192706,4.93,8.10,7.69,92.32,129.40,117.95
192707,5.01,7.67,7.38,92.76,131.24,106.89
192708,5.21,8.33,7.44,99.23,148.44,108.01
192709,5.33,8.03,7.46,99.12,140.04,121.79
192710,5.29,7.78,8.51,78.47,143.84,145.09
192711,4.94,7.97,8.15,76.61,136.22,135.31
192712,6.00,8.04,8.56,65.82,150.57,134.75
192801,5.68,9.18,8.86,93.01,154.37,143.74
192802,6.21,8.45,9.39,90.85,142.91,151.35
192803,5.79,8.53,8.49,85.76,151.00,138.92
192804,6.68,8.64,8.73,83.97,160.71,168.28
192805,6.80,8.94,10.41,85.80,177.36,154.15
192806,7.00,9.76,8.81,91.48,174.06,164.98
192807,7.10,8.78,7.96,77.10,173.38,154.33
192808,6.93,8.09,8.75,72.64,185.97,142.86
192809,6.80,9.46,8.53,80.54,190.44,160.47
192810,7.05,10.06,8.71,96.79,202.81,150.62
192811,7.66,10.45,8.58,111.14,204.39,152.69
192812,7.91,11.02,10.19,120.14,226.73,175.12
192901,8.66,11.26,10.00,131.11,174.66,252.13
192902,8.39,11.70,10.67,135.93,196.86,239.86
192903,8.30,11.55,11.64,89.86,201.36,240.01
192904,7.49,12.52,9.99,99.24,229.82,206.36
192905,7.85,12.17,10.58,91.24,211.88,233.61
192906,6.61,10.46,10.08,75.51,194.86,220.84
192907,6.82,11.53,10.33,56.06,208.65,245.91
192908,6.52,10.88,13.04,84.71,199.63,269.78
192909,7.08,10.81,12.23,199.42,161.61,334.09
192910,6.14,11.02,11.34,171.42,137.23,318.71
192911,4.71,9.25,8.73,127.05,124.76,256.76
192912,4.22,6.71,7.82,112.11,91.60,222.64
193001,4.07,6.75,7.45,135.13,96.72,230.42
193002,4.37,7.54,7.70,43.35,117.18,240.79
193003,4.67,7.66,8.51,117.13,107.42,249.23
193004,5.43,8.04,9.16,143.12,126.15,259.44
193005,5.38,7.53,8.31,141.81,124.42,245.36
193006,5.09,7.44,8.38,94.82,135.12,258.12
193007,4.10,5.47,7.69,59.92,115.72,229.66
193008,4.14,5.86,7.85,69.75,128.80,228.64
193009,4.17,5.56,7.28,80.85,159.13,194.24
193010,3.49,4.55,6.65,63.42,110.91,201.28
193011,3.00,4.03,6.01,47.49,101.82,184.98
193012,3.01,4.22,5.60,59.06,100.84,178.93
193101,2.20,3.81,4.05,43.06,108.89,156.56
193102,2.72,4.34,5.48,40.76,96.34,171.53
193103,3.23,4.79,6.16,58.72,111.75,183.78
193104,2.94,4.38,5.36,38.78,102.79,174.27
193105,2.42,3.87,4.33,31.58,99.76,150.22
193106,2.33,2.98,4.04,28.37,79.08,136.35
193107,2.58,3.43,4.59,43.20,102.52,147.87
193108,2.57,3.19,4.06,41.58,97.58,131.11
193109,2.48,3.21,3.27,42.70,104.54,131.10
193110,1.62,2.11,2.19,28.17,72.72,89.46
193111,1.76,2.28,2.36,20.14,79.63,103.47
193112,1.68,1.97,2.16,22.02,64.64,97.67
193201,1.30,1.59,1.51,30.36,60.54,78.77
193202,1.29,1.68,1.88,28.24,44.77,89.68
193203,1.23,1.77,1.84,29.12,53.65,86.52
193204,1.07,1.47,1.61,17.61,43.44,81.54
193205,0.89,1.12,1.38,16.20,41.55,65.39
193206,0.61,0.87,1.10,10.88,32.79,49.74
193207,0.77,0.87,0.93,12.53,35.29,48.37
193208,1.00,1.18,1.35,20.80,44.53,61.84
193209,1.56,2.14,2.02,31.28,66.66,82.04
193210,1.60,1.97,1.52,57.01,74.39,43.78
193211,1.34,1.60,1.23,33.41,81.97,29.82
193212,1.24,1.37,1.15,33.06,71.09,33.98
193301,1.11,1.30,1.01,38.96,64.74,44.66
193302,1.11,1.34,1.09,17.33,49.94,72.78
193303,0.78,1.15,1.05,18.93,57.06,42.66
193304,0.92,1.19,1.04,22.75,49.38,49.62
193305,1.41,1.68,1.52,42.95,80.40,50.42
193306,2.23,2.70,2.97,88.86,94.00,46.99
193307,2.81,3.36,3.04,117.64,81.56,50.19
193308,2.68,3.07,2.35,119.04,68.62,29.52
193309,2.78,3.37,2.63,128.26,66.57,75.03
193310,2.36,2.76,2.24,97.57,86.54,35.57
193311,1.88,2.46,2.03,84.41,74.78,50.51
193312,1.94,2.56,2.20,85.82,83.66,61.47
193401,1.96,2.54,2.29,90.90,79.54,65.27
193402,2.71,3.45,2.93,103.75,89.29,69.89
193403,3.17,3.10,3.08,116.68,71.55,55.36
193404,3.16,3.20,2.88,121.86,69.92,52.51
193405,3.21,3.32,2.81,106.60,84.39,30.05
193406,2.49,3.04,2.71,67.99,91.50,66.60
193407,2.20,2.90,3.20,55.68,79.58,91.48
193408,1.56,2.30,2.77,38.75,86.78,66.62
193409,2.00,2.26,3.12,26.75,83.18,89.03
193410,1.92,2.38,2.63,39.82,92.66,67.85
193411,1.76,2.47,2.63,41.38,96.88,57.26
193412,2.29,2.50,3.12,40.86,116.21,49.74
193501,2.25,2.75,2.88,52.61,107.08,49.08
193502,1.90,2.90,3.04,29.67,105.03,60.04
193503,1.85,2.62,3.00,25.88,93.63,68.82
193504,1.45,2.37,2.77,23.45,85.16,71.69
193505,1.62,2.70,3.51,19.74,75.75,91.59
193506,1.64,2.79,3.30,21.29,95.61,79.82
193507,1.67,2.88,3.34,32.70,79.69,102.69
193508,2.00,3.21,3.81,39.97,122.48,69.85
193509,2.17,3.53,4.06,40.42,122.69,77.06
193510,2.32,3.36,4.19,51.49,112.84,91.30
193511,2.28,4.05,4.30,62.70,121.58,95.06
193512,2.70,4.41,4.98,51.30,120.63,112.45
193601,3.37,4.56,4.46,69.85,108.70,141.27
193602,3.86,4.31,5.76,75.57,142.16,107.81
193603,4.91,4.64,5.02,86.17,165.81,81.83
193604,5.50,4.56,5.01,82.34,181.46,72.05
193605,4.44,4.00,4.47,88.54,142.13,89.07
193606,4.24,4.61,4.70,88.30,147.41,96.71
193607,4.28,4.87,4.25,88.30,150.52,105.42
193608,4.68,5.46,4.38,84.29,162.89,116.51
193609,4.50,5.43,4.86,87.78,178.35,82.73
193610,5.09,5.43,4.98,86.49,185.63,79.47
193611,5.50,6.10,4.82,96.77,205.56,79.70
193612,5.04,6.72,6.46,94.25,182.74,115.42
193701,6.33,6.18,6.36,93.79,195.14,96.82
193702,5.52,7.11,7.58,81.46,193.45,115.37
193703,5.91,7.74,7.12,89.68,185.43,117.03
193704,5.84,7.75,7.00,114.64,168.65,112.45
193705,6.18,5.98,6.03,157.51,132.77,91.94
193706,5.53,6.60,5.60,150.52,128.74,106.04
193707,4.83,5.92,5.35,141.36,122.19,102.60
193708,5.41,6.23,6.03,122.11,142.66,125.60
193709,5.41,5.64,5.33,113.28,142.64,105.80
193710,3.72,4.69,4.58,95.23,116.83,102.94
193711,3.34,4.32,4.07,48.38,103.31,113.56
193712,2.89,3.67,3.96,34.61,76.73,120.73
193801,2.61,3.11,3.66,26.64,55.86,129.71
193802,2.50,3.59,3.97,15.22,50.35,126.76
193803,2.78,3.57,4.46,20.08,56.35,131.52
193804,1.47,3.01,3.22,15.19,39.52,100.33
193805,2.13,3.26,3.53,19.26,48.98,108.18
193806,1.91,3.05,3.33,25.82,43.78,109.11
193807,2.89,3.48,4.37,23.72,65.20,129.49
193808,3.12,4.19,4.96,39.43,70.80,131.86
193809,3.06,3.93,4.59,44.27,63.29,132.82
193810,2.66,3.93,4.71,35.14,103.22,105.07
193811,3.13,4.57,5.74,37.67,108.05,111.40
193812,2.79,4.47,4.94,64.63,118.30,90.77
193901,2.84,4.74,4.81,120.11,112.46,72.57
193902,2.50,4.34,4.99,55.84,126.56,73.71
