DateId,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
192701,111,78,42,31,110,100
192702,118,77,39,25,113,104
192703,114,85,43,31,109,102
192704,111,81,46,35,113,99
192705,119,73,49,29,123,99
192706,112,77,52,37,121,97
192707,111,76,56,38,123,93
192708,106,75,56,41,120,91
192709,113,71,61,37,128,89
192710,111,78,57,39,122,93
192711,117,79,53,35,123,98
192712,119,73,57,33,129,95
192801,113,82,59,40,122,94
192802,114,82,54,40,123,99
192803,109,87,57,46,120,98
192804,104,83,65,51,123,89
192805,113,80,62,43,127,94
192806,104,80,73,55,130,84
192807,107,77,76,52,134,82
192808,108,79,75,50,133,83
192809,109,78,78,52,134,82
192810,104,87,77,59,130,85
192811,104,90,74,58,125,88
192812,107,94,68,57,122,95
192901,114,84,71,50,134,92
192902,127,85,60,37,134,104
192903,125,91,53,40,127,110
192904,120,85,62,44,133,101
192905,133,87,53,33,132,112
192906,140,84,50,27,138,116
192907,139,86,42,27,135,124
192908,142,92,39,25,131,128
192909,140,95,41,28,128,127
192910,145,102,35,26,125,136
192911,140,100,33,26,123,133
192912,144,101,30,28,129,142
193001,149,101,32,25,131,142
193002,150,102,32,27,135,145
193003,144,105,37,34,133,141
193004,140,107,43,39,132,136
193005,144,112,43,40,132,141
193006,144,112,52,42,135,134
193007,143,108,50,39,136,132
193008,142,114,58,46,137,130
193009,145,105,61,45,148,129
193010,142,123,55,50,132,137
193011,142,110,58,48,145,132
193012,144,121,61,51,139,134
193101,137,124,67,61,139,131
193102,156,125,50,43,141,149
193103,151,128,56,49,141,144
193104,161,114,63,42,157,140
193105,157,126,58,46,147,145
193106,161,125,58,44,148,147
193107,142,125,67,60,146,135
193108,152,129,63,60,143,144
193109,140,128,70,63,144,133
193110,138,123,71,64,148,131
193111,138,120,80,66,153,124
193112,148,109,77,54,161,125
193201,130,126,81,74,144,120
193202,142,124,72,62,147,132
193203,139,134,66,65,138,138
193204,148,129,60,55,142,143
193205,133,138,63,67,128,137
193206,137,142,56,65,128,146
193207,125,138,68,75,129,131
193208,130,135,68,72,135,134
193209,124,129,78,81,133,122
193210,110,114,106,90,155,93
193211,125,122,89,77,147,113
193212,128,120,87,77,146,115
193301,118,118,95,82,148,105
193302,135,127,72,68,142,130
193303,138,120,77,63,148,124
193304,145,114,75,56,154,126
193305,138,108,81,61,156,118
193306,135,122,73,66,145,124
193307,90,120,119,108,143,79
193308,89,114,131,111,152,69
193309,102,121,108,97,144,90
193310,95,126,117,106,141,83
193311,103,125,108,97,141,91
193312,107,122,106,93,143,93
193401,101,121,114,99,144,85
193402,104,127,104,97,139,96
193403,74,131,127,126,136,71
193404,77,125,131,121,139,67
193405,63,131,140,136,135,58
193406,110,118,110,90,148,89
193407,141,113,83,59,154,117
193408,146,115,73,56,148,126
193409,142,131,61,64,128,138
193410,132,127,78,70,142,124
193411,134,113,88,67,154,112
193412,132,114,91,69,153,110
193501,128,108,100,74,160,102
193502,146,119,72,56,149,129
193503,153,125,56,47,142,144
193504,151,126,54,47,139,144
193505,164,126,48,38,143,154
193506,155,122,56,45,147,144
193507,157,122,56,44,146,145
193508,155,104,73,42,158,124
193509,153,105,76,46,159,123
193510,143,105,87,57,161,112
193511,138,106,88,62,158,111
193512,142,104,85,57,160,114
193601,126,107,99,79,155,100
193602,123,105,102,76,160,96
193603,85,121,120,112,142,77
193604,77,130,116,119,131,80
193605,76,133,121,124,133,79
193606,88,125,117,112,141,83
193607,80,127,123,120,139,77
193608,93,122,117,107,145,83
193609,101,122,106,100,146,95
193610,104,127,105,99,143,98
193611,92,132,108,109,136,93
193612,110,126,100,93,144,102
193701,101,128,106,105,142,98
193702,115,124,92,89,147,111
193703,113,116,105,93,156,100
193704,123,106,102,82,165,102
193705,109,112,116,98,165,91
193706,118,113,106,89,164,101
193707,114,118,105,95,158,103
193708,125,120,97,84,159,112
193709,122,118,100,88,161,110
193710,125,118,98,85,162,112
193711,144,110,86,66,171,124
193712,160,115,74,53,170,139
193801,167,120,60,45,164,152
193802,187,123,46,29,164,170
193803,179,131,47,37,158,169
193804,188,132,42,32,156,175
193805,179,150,35,41,142,184
193806,178,141,48,42,153,172
193807,168,143,54,53,152,167
193808,170,143,52,51,153,169
193809,170,146,56,53,152,167
193810,160,143,69,65,154,154
193811,168,143,59,56,154,164
193812,146,142,83,78,156,140
193901,132,141,95,90,154,127
193902,159,132,79,64,167,144
193903,162,132,76,61,164,147
193904,136,131,102,86,165,120
193905,166,126,80,58,173,143
193906,162,127,85,64,172,140
193907,176,126,71,47,172,152
193908,177,132,62,46,168,161
193909,176,130,65,47,167,158
193910,162,127,80,61,169,142
193911,145,122,100,78,172,121
193912,138,128,103,84,167,118
194001,139,134,93,82,161,128
194002,148,128,93,73,167,128
194003,146,137,87,76,159,135
194004,137,121,111,86,174,111
194005,139,119,112,84,177,110
194006,136,113,122,86,182,100
194007,131,130,110,91,168,112
194008,146,129,99,78,170,125
194009,144,126,103,79,172,120
194010,173,114,84,51,184,139
194011,168,125,78,56,173,145
194012,164,113,96,60,187,128
194101,148,113,112,76,187,112
194102,153,116,103,72,186,122
194103,152,112,109,73,189,116
194104,158,110,105,68,192,121
194105,156,117,101,70,185,124
194106,144,113,117,84,189,109
194107,141,124,110,87,178,116
194108,140,124,114,87,180,113
194109,124,124,129,105,178,98
194110,130,123,124,99,180,104
194111,146,111,121,82,194,107
194112,148,113,118,81,191,111
194201,145,116,121,86,190,108
194202,168,127,86,62,180,144
194203,142,124,116,88,184,114
194204,135,128,122,96,181,109
194205,138,125,121,94,183,110
194206,132,127,126,101,181,106
194207,150,112,122,81,197,109
194208,169,108,108,63,201,123
194209,163,113,109,70,195,123
194210,159,119,109,74,197,117
194211,145,115,127,88,194,105
194212,128,125,134,105,184,98
194301,101,144,141,131,164,91
194302,140,147,100,93,163,132
194303,119,136,132,113,174,100
194304,107,149,133,126,161,100
194305,95,143,149,138,168,83
194306,84,150,154,149,160,79
194307,71,157,159,161,153,73
194308,81,147,159,153,163,74
194309,80,148,158,153,162,75
194310,90,144,153,144,167,80
194311,96,140,152,137,170,81
194312,84,136,168,150,174,64
194401,84,131,170,147,178,61
194402,99,141,148,133,167,84
194403,112,125,148,120,183,84
194404,118,128,139,114,181,93
194405,128,130,129,104,180,103
194406,133,134,117,98,175,114
194407,119,141,123,113,166,108
194408,97,149,139,137,161,93
194409,84,151,151,150,161,82
194410,96,141,149,138,170,84
194411,94,136,155,140,176,78
194412,78,148,160,157,165,74
194501,89,138,157,147,173,77
194502,82,159,145,154,155,90
194503,77,159,151,159,157,85
194504,77,153,157,159,163,79
194505,86,150,153,151,167,84
194506,94,148,149,143,168,88
194507,107,140,142,130,177,95
194508,83,165,142,155,152,96
194509,93,159,138,146,159,100
194510,100,150,142,139,170,97
194511,99,151,143,141,169,96
194512,89,153,150,151,167,89
194601,90,157,147,150,162,93
194602,88,161,147,155,161,95
194603,92,162,143,150,160,98
194604,89,158,152,153,165,90
194605,106,155,140,139,169,103
194606,112,148,140,134,177,104
194607,116,150,135,130,176,109
194608,117,151,135,129,176,110
194609,118,152,132,128,175,113
194610,126,155,121,119,172,124
194611,155,144,104,91,185,142
194612,166,147,92,81,183,155
194701,167,148,90,81,182,157
194702,178,153,81,74,181,169
194703,179,151,82,72,184,169
194704,175,151,88,77,186,164
194705,189,142,85,65,196,169
194706,195,149,75,61,192,181
194707,193,161,68,63,181,188
194708,192,170,67,67,175,192
194709,188,171,74,73,176,187
194710,182,157,96,79,193,165
194711,178,153,103,84,196,159
194712,181,149,108,83,202,155
194801,173,157,110,92,195,155
194802,184,156,101,82,198,165
194803,183,154,105,83,202,161
194804,184,152,107,84,205,161
194805,179,156,108,89,200,160
194806,163,160,124,106,198,144
194807,162,168,118,110,191,152
194808,173,168,108,98,192,163
194809,175,159,117,97,204,155
194810,181,151,120,91,212,152
194811,187,158,108,85,206,164
194812,191,151,112,84,215,162
194901,178,157,121,97,211,154
194902,204,164,90,73,205,187
194903,201,148,109,77,221,168
194904,202,168,92,77,203,187
194905,187,177,99,93,195,181
194906,196,176,91,84,197,189
194907,204,175,88,77,199,193
194908,208,177,85,73,199,196
194909,204,178,89,78,198,192
194910,208,171,95,75,206,188
194911,199,176,96,83,202,186
194912,197,164,112,86,213,171
195001,178,170,124,105,206,159
195002,187,169,119,96,208,164
195003,173,170,136,111,210,148
195004,183,173,125,102,207,160
195005,174,195,114,112,187,172
195006,152,193,137,135,189,149
195007,153,193,137,134,189,149
195008,164,183,138,123,201,148
195009,130,199,156,158,184,132
195010,135,199,153,154,186,136
195011,150,192,145,139,193,144
195012,137,194,157,153,193,132
195101,148,194,144,141,191,145
195102,146,192,147,143,193,142
195103,135,214,136,154,172,153
195104,133,200,153,157,187,137
195105,142,205,139,148,183,151
195106,141,206,142,150,183,149
195107,138,200,150,154,190,142
195108,169,203,119,125,190,175
195109,179,195,117,117,197,178
195110,177,193,121,119,201,174
195111,178,186,127,118,208,168
195112,179,186,126,116,207,169
195201,190,184,117,106,210,178
195202,213,182,99,84,213,198
195203,209,187,97,88,209,200
195204,203,192,100,94,205,197
195205,204,196,96,94,202,202
195206,205,192,99,94,206,199
195207,203,182,113,96,217,186
195208,198,180,122,101,219,177
195209,206,175,119,93,225,180
195210,214,176,110,86,224,190
195211,206,173,119,94,226,181
195212,201,187,111,100,214,190
195301,194,193,113,107,209,188
195302,205,178,117,97,224,185
195303,179,192,129,123,210,173
195304,164,191,144,137,210,157
195305,173,174,152,128,229,149
195306,162,183,154,138,217,146
195307,154,179,166,148,221,135
195308,164,178,155,136,223,145
195309,181,172,142,119,228,158
195310,186,177,138,116,225,163
195311,187,181,134,115,221,168
195312,193,179,130,109,223,171
195401,199,175,130,103,228,172
195402,212,191,102,90,212,200
195403,222,189,94,81,214,209
195404,229,183,94,74,221,209
195405,231,182,95,72,223,208
195406,226,193,89,78,211,215
195407,237,174,98,67,232,206
195408,221,188,99,83,218,205
195409,223,172,115,81,234,189
195410,199,178,131,105,227,173
195411,198,178,131,105,227,172
195412,179,195,135,125,211,169
195501,163,208,135,141,197,169
195502,154,211,141,150,193,163
195503,147,212,146,156,192,157
195504,144,200,159,158,202,143
195505,129,198,174,173,205,128
195506,132,204,163,170,198,138
195507,132,204,165,170,199,137
195508,148,195,158,154,207,143
195509,161,188,151,140,214,150
195510,166,185,147,134,215,153
195511,168,182,150,132,219,150
195512,157,181,161,144,220,140
195601,182,179,138,119,222,163
195602,192,180,129,110,222,173
195603,195,172,134,107,231,168
195604,192,180,129,110,222,173
195605,191,181,127,111,223,175
195606,183,190,126,119,213,176
195607,183,185,131,119,218,171
195608,191,190,117,111,214,185
195609,193,188,117,109,215,185
195610,200,180,116,102,222,185
195611,190,181,127,112,221,174
195612,191,171,136,111,232,166
195701,188,177,133,114,227,169
195702,197,179,120,105,223,182
195703,188,183,124,114,220,178
195704,181,172,144,122,232,159
195705,177,188,131,126,215,172
195706,184,182,130,119,221,173
195707,179,191,124,123,211,177
195708,172,187,140,130,217,162
195709,176,183,136,126,219,165
195710,184,177,138,119,227,165
195711,181,184,135,122,220,168
195712,184,185,127,118,217,175
195801,192,189,115,110,213,187
195802,203,195,100,99,209,202
195803,195,194,108,107,209,194
195804,186,203,106,115,198,195
195805,184,200,113,118,204,189
195806,183,201,118,121,205,186
195807,183,207,114,121,198,190
195808,187,198,122,118,210,183
195809,194,185,128,111,223,177
195810,203,155,148,102,252,157
195811,175,165,166,130,241,138
195812,160,176,173,146,233,133
195901,143,188,180,163,221,126
195902,178,174,162,129,235,145
195903,152,187,173,154,220,133
195904,145,193,171,160,214,134
195905,140,194,173,165,213,132
195906,147,199,162,158,209,143
195907,145,207,153,161,201,153
195908,150,201,154,156,206,152
195909,156,191,156,150,217,150
195910,170,180,155,137,228,152
195911,158,192,152,148,215,154
195912,170,190,142,136,219,164
196001,162,191,148,144,218,158
196002,178,190,133,129,218,174
196003,167,188,147,140,220,160
196004,180,195,129,128,215,178
196005,183,194,131,125,217,177
196006,170,214,124,138,197,184
196007,184,205,120,125,208,189
196008,185,206,117,124,207,192
196009,190,208,110,119,205,199
196010,188,212,106,122,201,204
196011,193,198,117,118,216,193
196012,198,204,106,113,211,205
196101,202,202,100,109,212,210
196102,223,189,91,88,225,219
196103,221,187,97,90,228,214
196104,222,179,104,90,238,208
196105,208,171,130,105,245,183
196106,191,195,127,123,224,187
196107,180,194,142,135,225,173
196108,194,183,143,122,238,173
196109,206,183,134,111,240,183
196110,219,180,126,100,245,192
196111,197,207,121,122,217,197
196112,194,214,119,124,211,199
196201,180,203,141,137,221,176
196202,197,184,146,122,241,173
196203,178,203,149,141,221,170
196204,197,189,145,122,235,174
196205,203,183,142,117,243,177
196206,205,190,132,115,236,187
196207,209,178,138,111,246,181
196208,197,177,150,123,249,169
196209,177,194,156,143,232,166
196210,172,193,167,150,237,157
196211,184,181,168,141,252,158
196212,196,185,156,130,249,172
196301,205,183,150,121,251,178
196302,218,209,111,109,228,217
196303,214,200,126,115,238,203
196304,205,198,135,122,239,193
196305,219,191,130,110,247,199
196306,212,192,135,117,246,193
196307,210,179,153,119,260,176
196308,644,336,297,117,287,189
196309,664,340,266,115,276,204
196310,664,336,274,119,276,198
196311,596,335,335,127,281,186
196312,594,334,343,122,279,194
196401,552,344,364,141,281,175
196402,622,331,318,119,275,202
196403,587,348,330,118,289,191
196404,563,361,349,124,285,188
196405,538,379,366,153,258,187
196406,541,371,371,136,262,200
196407,568,363,349,132,272,199
196408,587,374,321,127,272,202
196409,568,362,360,136,280,187
196410,575,363,346,144,272,186
196411,574,367,351,139,270,191
196412,554,372,370,141,283,180
196501,516,345,432,153,280,174
196502,557,355,383,147,280,185
196503,543,354,396,156,268,184
196504,516,378,403,150,273,186
196505,504,375,429,159,269,184
196506,470,396,444,173,276,163
196507,457,375,475,180,270,168
196508,488,382,448,174,268,181
196509,479,399,442,174,267,184
196510,480,394,440,177,272,177
196511,476,419,417,175,260,194
196512,418,474,429,188,244,191
196601,391,443,476,193,252,179
196602,386,472,461,203,236,189
196603,354,466,506,208,244,175
196604,326,485,517,210,243,177
196605,329,468,527,213,224,194
196606,301,503,524,220,233,180
196607,293,514,520,214,230,192
196608,299,514,521,213,232,190
196609,311,486,539,213,236,186
196610,342,433,562,190,257,191
196611,385,427,527,171,266,199
196612,525,401,417,149,264,222
196701,530,407,389,132,269,236
196702,598,436,305,119,261,259
196703,615,398,332,133,273,235
196704,555,434,356,149,258,229
196705,582,396,363,145,264,224
196706,522,390,435,146,277,209
196707,489,402,450,161,264,212
196708,416,413,512,174,269,196
196709,347,425,572,204,253,179
196710,321,451,575,202,255,174
196711,242,423,673,227,247,159
196712,222,423,689,244,230,160
196801,232,452,650,228,227,174
196802,239,435,647,213,236,172
196803,224,384,715,231,244,144
196804,261,374,686,213,263,145
196805,264,395,656,219,252,154
196806,244,417,656,217,253,155
196807,261,407,650,220,244,152
196808,284,395,623,208,258,153
196809,294,382,632,199,275,143
196810,335,346,631,192,287,141
196811,320,380,618,199,271,146
196812,314,395,612,214,260,142
196901,381,376,563,204,267,146
196902,402,354,559,189,267,161
196903,356,379,585,198,252,161
196904,370,360,589,190,266,160
196905,440,349,542,182,259,172
196906,537,376,417,145,272,200
196907,542,362,433,143,273,201
196908,603,369,372,114,281,219
196909,661,398,290,109,261,249
196910,653,430,267,111,253,255
196911,662,430,268,110,252,263
196912,639,441,285,99,256,274
197001,720,403,250,94,255,280
197002,773,391,221,81,254,292
197003,719,428,252,105,247,282
197004,748,443,221,101,239,294
197005,751,468,208,98,249,283
197006,816,445,178,94,246,290
197007,813,458,170,98,247,291
197008,768,473,211,96,260,281
197009,825,445,193,100,271,270
197010,810,451,202,104,278,270
197011,800,449,220,99,282,271
197012,794,442,235,99,293,263
197101,785,458,234,110,284,259
197102,862,397,222,105,291,258
197103,775,415,305,132,296,228
197104,715,422,363,143,293,222
197105,594,438,471,151,307,199
197106,567,491,442,167,279,216
197107,562,495,445,184,264,212
197108,581,466,458,176,287,203
197109,594,480,431,166,274,229
197110,707,459,354,146,285,239
197111,667,440,427,149,292,227
197112,602,484,452,163,276,236
197201,644,480,419,139,286,250
197202,756,410,375,109,315,258
197203,697,430,423,140,306,241
197204,652,479,411,142,289,259
197205,661,454,439,134,288,266
197206,628,463,466,155,291,249
197207,610,484,466,162,284,250
197208,607,505,449,161,287,256
197209,604,504,459,161,286,257
197210,668,489,419,152,290,263
197211,648,507,423,151,290,268
197212,661,498,429,144,308,260
197301,741,462,397,130,321,268
197302,891,453,263,99,309,312
197303,846,498,275,117,305,297
197304,857,518,248,115,300,304
197305,845,568,218,107,296,318
197306,807,610,216,120,292,308
197307,842,604,183,109,295,317
197308,842,602,190,122,287,318
197309,816,585,242,113,311,305
197310,831,574,247,124,311,297
197311,872,537,252,124,306,304
197312,797,570,305,117,321,294
197401,1676,1330,780,141,368,402
197402,1927,1249,629,132,372,397
197403,1834,1268,709,180,365,348
197404,1837,1232,744,192,364,335
197405,1699,1252,854,194,371,322
197406,1519,1367,892,222,358,305
197407,1463,1325,965,213,380,291
197408,1519,1248,963,201,362,324
197409,1453,1260,977,213,375,297
197410,1272,1227,1143,220,380,294
197411,1282,1205,1151,251,364,283
197412,1443,1148,998,243,366,290
197501,1282,1076,1202,249,370,273
197502,1513,1149,884,179,359,341
197503,1515,1128,906,231,361,284
197504,1585,1150,837,208,362,303
197505,1635,1087,855,215,374,282
197506,1630,1101,852,220,375,273
197507,1679,1038,866,208,394,258
197508,1718,954,901,221,382,257
197509,1522,1062,979,219,384,252
197510,1591,1020,924,201,390,265
197511,1318,1151,1056,253,369,242
197512,1374,1163,976,253,375,228
197601,1296,1163,1040,285,350,220
197602,1405,1026,982,200,399,257
197603,1478,1019,1009,269,364,221
197604,1250,1110,1120,294,339,220
197605,1252,1079,1188,301,358,191
197606,1214,1084,1202,272,373,203
197607,1209,1096,1226,259,369,215
197608,1518,1059,961,244,362,239
