"CURRENCY","TIME_PERIOD","BETA0","BETA1","BETA2","BETA3","TAU1","TAU2"
"EUR",2004-09-06,5.44209790702586,-3.54342805036229,1.33850329170904,-0.283215915174881,4.96756768184394,1.87731540829179
"EUR",2004-09-07,5.44013926929617,-3.54480407867963,1.243712650394,-0.0434140390879579,5.04024671583535,1.94123380353114
"EUR",2004-09-08,5.42717571932423,-3.53216548159567,1.26905185437169,0.0438599343438757,5.02362138254261,1.93173468337978
"EUR",2004-09-09,5.39511834742333,-3.48882322648477,1.3197672119569,-0.153948787348269,5.17489137449644,1.90390031330442
"EUR",2004-09-10,5.36414500044412,-3.44731333060361,1.3962427964385,-0.396638476325179,5.21325927179269,1.86457203383702
"EUR",2004-09-13,5.39753287214927,-3.49106851576216,1.29462995995615,-0.115062624139192,5.30642144283228,1.96648212327781
"EUR",2004-09-14,5.3742477878518,-3.46061575499842,1.3798874673717,-0.241586644362932,5.29274677095545,1.97818043470276
"EUR",2004-09-15,5.36535583723839,-3.44752342560076,1.38583897080741,-0.242965970456238,5.2976826625048,1.99060123599896
"EUR",2004-09-16,5.35689720031269,-3.43524944688243,1.37176254801844,-0.188620089617652,5.31162005381536,2.01506044973332
"EUR",2004-09-17,5.42173389167818,-3.48966869982379,1.31260006041202,-0.349767049320431,5.39282186600729,2.0257916802191
"EUR",2004-09-20,5.32263134437598,-3.39488578468123,1.38296303746105,-0.332974911980362,5.35478335087113,2.03752341361431
"EUR",2004-09-21,5.3271027736154,-3.39553712944895,1.3813187734951,-0.307157380040779,5.36148162913951,2.05811518571995
"EUR",2004-09-22,5.293724647961,-3.35794884474981,1.36898320994673,-0.296313610827329,5.38021493081404,2.07112274155696
"EUR",2004-09-23,5.22867265325177,-3.27858104947883,1.46878015860168,-0.597715362276061,5.45024616304567,1.99141311493964
"EUR",2004-09-24,5.2709988618228,-3.32232795805543,1.43644406195946,-0.385461441059671,5.50198511250094,2.14247294517525
"EUR",2004-09-27,5.22784031188895,-3.27522481513187,1.51695087345227,-0.509450680070788,5.49949664023772,2.17713175529851
"EUR",2004-09-28,5.23670790727645,-3.28270516971293,1.51994112580981,-0.539402606855699,5.50967649219041,2.18341674297895
"EUR",2004-09-29,5.28428077618586,-3.33452180278366,1.51134970412218,-0.404398586722382,5.54761164468867,2.28992160519887
"EUR",2004-09-30,5.34887118013186,-3.41436581163224,1.44890006091729,-0.323928246674324,5.61873648288871,2.38320333934653
"EUR",2004-10-01,5.31510180636445,-3.3609209848919,1.69340783700308,-0.62462343569277,5.51289143565505,2.24911000169196
"EUR",2004-10-04,5.29091818538652,-3.34946123977853,1.74280753143523,-0.495864205730275,5.47200195078207,2.26800327037894
"EUR",2004-10-05,5.28384853047725,-3.33814664438856,1.65515395952212,-0.524812736607147,5.53372189796537,2.30398453813355
"EUR",2004-10-06,5.24246100863867,-3.28698096502091,1.72902531824927,-0.603049916628172,5.49346176128404,2.2572617518657
"EUR",2004-10-07,5.26277672377847,-3.30779420419142,1.74682147510915,-0.63114172950822,5.49431097152564,2.24934346080807
"EUR",2004-10-08,5.2168911482082,-3.26005155807218,1.80296950526873,-0.861586920374437,5.53114891187937,2.09778634643691
"EUR",2004-10-11,5.24562010760587,-3.28081662914833,1.80329748439238,-0.895339694345514,5.54204103924564,2.0876313354341
"EUR",2004-10-12,5.21777928351034,-3.25296595276182,1.77067573502296,-0.980076121729082,5.57060353129324,2.06254248013656
"EUR",2004-10-13,5.2091275090316,-3.24245610751083,1.78068701971836,-0.922796401553805,5.55211502066539,2.07800874015258
"EUR",2004-10-14,5.20197198608775,-3.2301814022385,1.76713604757272,-1.00520434674226,5.56758645790238,2.02306034547626
"EUR",2004-10-15,5.17833263256963,-3.19280581868856,1.79172151663155,-1.1418082388754,5.55100386503817,1.8690932767079
"EUR",2004-10-18,5.22779068338958,-3.24176612663416,1.74472712072921,-1.1370428303358,5.58668988494274,1.90044159313936
"EUR",2004-10-19,5.23483752609948,-3.24553502020561,1.76182903856947,-1.10538496418912,5.56752903445223,1.86456432541522
"EUR",2004-10-20,5.21702987108674,-3.20952222599888,1.69972445415022,-1.2268660595756,5.61089841793437,1.79212925828516
"EUR",2004-10-21,5.20761417704387,-3.20218615906198,1.68761872702037,-1.18004021861843,5.60900369035418,1.81680997390053
"EUR",2004-10-22,5.21660064195535,-3.21327436058727,1.65812920048279,-1.12253466830756,5.61826306220646,1.85597786089817
"EUR",2004-10-25,5.21526482163222,-3.19792435132192,1.60049217672233,-1.24805208354323,5.66916381861996,1.82193695557489
"EUR",2004-10-26,5.22668015753759,-3.20192028314775,1.57896486379583,-1.26987649696953,5.68617733408384,1.82398432036934
"EUR",2004-10-27,5.20281806595109,-3.17401525011082,1.58674465937873,-1.2557078383621,5.6714722368936,1.81271339346887
"EUR",2004-10-28,5.20972820482747,-3.19168139036971,1.69901462673221,-1.03549792303124,5.62665245159503,1.81153644996819
"EUR",2004-10-29,5.29562981165105,-3.29633080525568,1.53091296576325,-0.992959959407701,5.78813891550658,2.10961594495898
"EUR",2004-11-01,5.19689170997192,-3.17833502577321,1.63895596339354,-1.11728213598384,5.6759579431853,1.82742114846564
"EUR",2004-11-02,5.11627729837222,-3.11145258283468,2.30978588378962,-1.43703852009996,5.60045495731074,2.39267803126243
"EUR",2004-11-03,5.12491012326738,-3.16236596698681,2.32076013137768,-1.35814445011854,5.5938354324057,2.48585837223336
"EUR",2004-11-04,5.12519620468269,-3.16263264800385,2.32604646259513,-1.36741400976562,5.59418981611294,2.47393878186834
"EUR",2004-11-05,5.11844040474953,-3.16623522810096,2.33866383658263,-1.35244584528588,5.58318837272538,2.47216803480861
"EUR",2004-11-08,5.10831566209121,-3.16653599231891,2.35215749795311,-1.33550106084009,5.5708465557493,2.47170346483839
"EUR",2004-11-09,5.02727632779682,-2.98617276750089,2.30870369249505,-1.45180522311931,5.62877474060669,2.4034283102178
"EUR",2004-11-10,4.99396360390248,-2.94383795083337,2.32262506988861,-1.52621069902491,5.62531218658591,2.31424774824795
"EUR",2004-11-11,4.97487764244617,-2.91918141572012,2.32257928401473,-1.64168597821427,5.63526913638435,2.19371509042151
"EUR",2004-11-12,4.94614477785461,-2.89648095096112,2.29774030509322,-1.62370307053055,5.64205200568162,2.23423402349567
"EUR",2004-11-15,4.93212491750228,-2.87172107247327,2.24715844757613,-1.66151624056199,5.68215513362352,2.26328807067323
"EUR",2004-11-16,4.91687751503451,-2.86131665035389,2.19714222542489,-1.55697531616136,5.68775569377035,2.45159626082373
"EUR",2004-11-17,4.93343807327286,-2.88275859481088,2.22336527598368,-1.55009014277073,5.67842528042971,2.43190387846686
"EUR",2004-11-18,4.9661297522866,-2.91470961067934,2.2261887091026,-1.46733440451041,5.66757611601538,2.53952281471975
"EUR",2004-11-19,4.94673287800602,-2.89793922110509,2.22422060638487,-1.50270977505432,5.67102353517929,2.50351099951443
"EUR",2004-11-22,4.92658971525143,-2.87612344934369,2.21012716099671,-1.56169209648922,5.68843620836101,2.46605832301673
"EUR",2004-11-23,4.90929331813155,-2.85107770552297,2.21154675025323,-1.59189478446756,5.68684712386583,2.4327056565822
"EUR",2004-11-24,4.89313503841595,-2.81887864188564,2.22000297374374,-1.70352359125103,5.68649118280843,2.2674559996704
"EUR",2004-11-25,4.86917201172113,-2.80508713583215,2.21269834562699,-1.728690658958,5.67154328173394,2.18532600323527
"EUR",2004-11-26,4.83847992254408,-2.78001998962211,2.21938588755525,-1.70588239610179,5.64265778402017,2.14349120656322
"EUR",2004-11-29,4.8847566779229,-2.83880959790634,2.22846103255343,-1.58383343713563,5.62636794825161,2.22982552460088
"EUR",2004-11-30,4.88545069061429,-2.84126179315107,2.19085939880006,-1.63691040542122,5.65230596702495,2.20617680703702
"EUR",2004-12-01,4.86079043044832,-2.82008118795615,2.16278308853922,-1.67669157604067,5.65316730340352,2.13834959436344
"EUR",2004-12-02,4.88817395891293,-2.85219397959952,2.15174244170504,-1.52231779009633,5.63426248963289,2.27941775435434
"EUR",2004-12-03,4.89022033312247,-2.84607220176121,2.1097128604289,-1.6136031828742,5.67367770078558,2.2443065217237
"EUR",2004-12-06,4.85024934697947,-2.80428407612721,2.0700104685913,-1.71775242137287,5.73580813578368,2.12166452295567
"EUR",2004-12-07,4.86516726723904,-2.82282312614919,2.01361759477793,-1.732386738008,5.77721194489331,2.19380917608481
"EUR",2004-12-08,4.83052853055217,-2.78926650810203,2.01751000009029,-1.63790161542262,5.74084018114868,2.24320973189451
"EUR",2004-12-09,4.76492001829778,-2.72515374849108,1.95005389524025,-1.65178191601837,5.83624398182059,2.27465185009145
"EUR",2004-12-10,4.75950317051296,-2.71596072587139,1.9001203162242,-1.61383547428226,5.85785084424627,2.39538971627821
"EUR",2004-12-13,4.73902093257762,-2.69978468745165,1.92907860427187,-1.59201720488567,5.82969308998287,2.35408765387806
"EUR",2004-12-14,4.69579468071108,-2.65354440914331,1.92367788319739,-1.56696824297478,5.81164975886869,2.34532349935029
"EUR",2004-12-15,4.63801945052725,-2.59557074563185,1.88034995098578,-1.56335214596962,5.82082367019616,2.37598744108311
"EUR",2004-12-16,4.66582040253651,-2.64728555694276,1.81106151225345,-1.30964142379378,5.80229077936595,2.61257465425906
"EUR",2004-12-17,4.66344296021332,-2.64087104752815,1.86545103593039,-1.18335233267356,5.77141382872475,2.62636976546079
"EUR",2004-12-20,4.65853870473699,-2.61792964369446,1.85045555603302,-1.34806606694386,5.79924832127351,2.49606135399228
"EUR",2004-12-21,4.72440420057991,-2.69441881934375,1.75498559921478,-1.14495812385968,5.82662253639727,2.80989492203536
"EUR",2004-12-22,4.78329219517562,-2.77202241890671,1.61630940020126,-0.981755842799112,5.87793860287013,3.13648995218635
"EUR",2004-12-23,4.81294300778878,-2.8090971812973,1.58048398443633,-1.07459633956101,5.92315668660268,3.1203103390837
"EUR",2004-12-24,5.06810943337372,-3.0781315055277,1.03466474618221,-0.860478878552237,6.2391355762299,4.08337264775679
"EUR",2004-12-27,4.77559610888809,-2.76889137148433,1.89273460437244,-1.1594967679177,6.07281328165917,3.34562349205992
"EUR",2004-12-28,4.72553645396641,-2.71731778954727,2.04674244982361,-1.24805282682468,6.02839575171451,3.12451184243524
"EUR",2004-12-29,4.86275510888467,-2.87125503795371,1.79690505415528,-0.873416806685853,6.082574135985,3.69840541073642
"EUR",2004-12-30,4.88687113388191,-2.89880567235851,1.79259683542983,-0.890501083754862,6.09451325410439,3.69579662479695
"EUR",2004-12-31,5.02535816931556,-3.05442039342608,1.29356878551243,-0.564658301062259,6.19330030568344,4.37406114437596
"EUR",2005-01-03,4.86541983470184,-2.88497785942457,1.81672345238066,-0.929912476937237,6.21061773076614,3.84761790246415
"EUR",2005-01-04,4.8266238498622,-2.84874383627267,1.82557148382851,-0.896710431831348,6.19216830462253,3.86047689246782
"EUR",2005-01-05,4.81181449839565,-2.83341109744209,1.85975915834886,-0.81845521877085,6.16372633466237,3.89224188215405
"EUR",2005-01-06,4.67790807386588,-2.6987334701828,2.23955642073913,-1.17917130554118,6.20086321531381,3.33874589521245
"EUR",2005-01-07,4.61365069377254,-2.63565001027809,2.31772235635654,-1.27552899443003,6.19242641910608,3.18968103542195
"EUR",2005-01-10,4.60968295409369,-2.64189013456638,2.32666583904938,-1.25684741923424,6.18510066859871,3.2020957738995
"EUR",2005-01-11,4.61613022480509,-2.63121265833532,2.24860020203482,-1.20712766204829,6.19787295449553,3.35371897969306
"EUR",2005-01-12,4.62841791150653,-2.6415925547043,2.25871768566211,-1.21072484414127,6.19869384248974,3.34785913994541
"EUR",2005-01-13,4.54838167090424,-2.56051881417214,2.37453432465434,-1.38232774990971,6.19199385563785,3.03830433331592
"EUR",2005-01-14,4.49030374315056,-2.50108093524112,2.37242797673209,-1.30905228277227,6.15591084280205,3.08237241925409
"EUR",2005-01-17,4.46498144607963,-2.48109008031743,2.35127142116287,-1.31964224387013,6.16250627737326,3.09120287263664
"EUR",2005-01-18,4.44215969182784,-2.45683713803086,2.37179657698725,-1.2506576937622,6.12903113154761,3.1195879409699
"EUR",2005-01-19,4.33652409152858,-2.35092200846705,2.40422913578917,-1.25947912338786,6.09583706694487,3.0534602583339
"EUR",2005-01-20,4.40546231952397,-2.41487740883065,2.41874310640422,-1.20804681545341,6.10987442396791,3.10773156052199
"EUR",2005-01-21,4.43912782655242,-2.44977438155646,2.42177754179707,-1.25168680860815,6.13079548303579,3.08197536302927
"EUR",2005-01-24,4.41987612914137,-2.4377037202724,2.40692147653305,-1.29895479111247,6.14509590405609,3.05405037962775
"EUR",2005-01-25,4.31203718894175,-2.32808817690746,2.4510848392906,-1.30221641084788,6.0814156633276,2.92455774557056
"EUR",2005-01-26,4.32643144187903,-2.34838832820658,2.48592132419515,-1.20044218788442,6.04850119365476,2.9520043464936
"EUR",2005-01-27,4.38871604645058,-2.42818980448538,2.26830325715168,-0.945475926439663,6.04885103612143,3.32188454510829
"EUR",2005-01-28,4.37039024011649,-2.39984950161497,2.29334819140703,-1.124124617216,6.10087052613672,3.11299638991568
"EUR",2005-01-31,4.36920427758133,-2.39954578673174,2.2436139317346,-1.0728571242142,6.0954888870789,3.1848011152505
"EUR",2005-02-01,4.36526696155213,-2.40567241750446,2.24686026019339,-1.05070997608501,6.0865062132294,3.19553393096682
"EUR",2005-02-02,4.2984244926007,-2.33099857006082,2.24397768851599,-1.01005410128181,6.05749211263441,3.20421075741143
"EUR",2005-02-03,4.23354559867469,-2.26604736126793,2.28110761961184,-0.893550565518325,5.98727616611103,3.2263287069374
"EUR",2005-02-04,4.1931033635525,-2.22657978465103,2.24002789513886,-0.928463856699525,6.03655670320308,3.21759335950383
"EUR",2005-02-07,4.103044960181,-2.13626097638408,2.23393992204352,-0.841100502009526,6.0014669772952,3.25593469550821
"EUR",2005-02-08,4.20564727539755,-2.23785262967257,1.92968213844432,-0.643619373210726,6.05892905074613,3.64198095702132
"EUR",2005-02-09,4.09527291793625,-2.12553892814291,2.1790296105553,-0.850425506383278,6.08892254495051,3.37499311452477
"EUR",2005-02-10,4.06406793463096,-2.08943370496872,2.3228598661471,-1.01720986211813,6.08675228690657,3.13578334831643
"EUR",2005-02-11,4.15688763297317,-2.18110623551265,2.32662440075722,-1.07182651973041,6.13426340149436,3.12012928708877
"EUR",2005-02-14,4.22247365803229,-2.25557883099945,2.23154637128081,-0.936402905947632,6.15489373324047,3.3240682665525
"EUR",2005-02-15,4.23866135563739,-2.27612472811335,2.14267735903062,-0.807354267871013,6.15218714716939,3.49072801005533
"EUR",2005-02-16,4.35592361694514,-2.39584693263446,1.86153191226962,-0.737380879144682,6.23621372244654,3.7724899023462
"EUR",2005-02-17,4.30573419794469,-2.35477687959476,2.2473511841765,-0.676337537017062,6.22816465098921,3.62789603067476
"EUR",2005-02-18,4.37131897704216,-2.43355137747237,2.35685608211502,-0.603392889996161,6.2438044665604,3.6090167034697
"EUR",2005-02-21,4.38997027615807,-2.44146446560856,2.34745383552203,-0.586599566532402,6.24432026287475,3.62265636907126
"EUR",2005-02-22,4.42035216736863,-2.47722505445431,2.3678179188973,-0.6162808032635,6.25364498193317,3.59860853130433
"EUR",2005-02-23,4.37308653096585,-2.41899908460272,2.58019728629337,-0.844390134697476,6.23644593028532,3.32190867161398
"EUR",2005-02-24,4.40944123916853,-2.45160583298187,2.58109267563246,-0.824182883047639,6.24285667333487,3.33834795236005
"EUR",2005-02-25,4.40142855876593,-2.44697265533726,2.59897853343658,-0.706893074871976,6.21227504331375,3.38889855213261
"EUR",2005-02-28,4.42665248763483,-2.48143032662761,2.36639641057922,-0.60475360452008,6.20223274254855,3.53696031599393
"EUR",2005-03-01,4.46652975210475,-2.52412402668714,2.35561420808965,-0.608437377568326,6.20761213360764,3.53701421785026
"EUR",2005-03-02,4.48763924947751,-2.54025649935154,2.68548532145817,-0.779917654792056,6.21055930371707,3.27805420967316
"EUR",2005-03-03,4.52360660734291,-2.58154295576969,2.66384433615085,-0.868585676058628,6.25679029304457,3.24794385313341
